,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_hi,tweet_date
0,hi,False,1440804582582484992,"https://t.co/wctA0sYjzF September 22, 2021 at 11:09PMजिले में 5 हजार 576 लोगों को लगाया गया कोविड- 19 का टीका https://t.co/UkvOb2Hvhu",[],[],[],['https://t.co/wctA0sYjzF'],India,https   t co wctA0sYjzF September 22  2021 at 11 09PMजिले में 5 हजार 576 लोगों को लगाया गया कोविड  19 का टीका https   t co UkvOb2Hvhu,2021-09-22 22:00:00
1,hi,False,1440708329756512259,"कंस्ट्रक्शन मजदूरों की 30000 करोड़ की कल्याण निधि से कोविड के टीके खरीदकर मजदूरों को लगाएगी सरकार~रवीश कुमार
फोटो छपेगी मोदी जी की,
प्रचार होगा टीका मुफ्त लगाया जा रहा है।
थैंक्यू मोदी जी",[],[],[],[],India,कंस्ट्रक्शन मजदूरों की 30000 करोड़ की कल्याण निधि से कोविड के टीके खरीदकर मजदूरों को लगाएगी सरकार रवीश कुमारफोटो छपेगी मोदी जी की प्रचार होगा टीका मुफ्त लगाया जा रहा है।थैंक्यू मोदी जी,2021-09-22 16:00:00
2,hi,False,1440693953699803148,"○ गुरुवार  23 सितंबर को नीमच जिले में 95 केंद्रों पर लगाया जाएगा कोविड टीका।
○जिलेवासियों से अपील है कि, अपने नजदीकी कोविड टीकाकरण केंद्र पर जाकर अपना पहला व दूसरा डोज का टीका अवश्य लगवाएं।
निम्न केंद्रों पर लगाए जाएंगे कोविड टीके। @JansamparkMP @healthminmp @CommissionerUJN https://t.co/tkrEbAf4OW",[],[],"['JansamparkMP', 'healthminmp', 'CommissionerUJN']",[],India,○ गुरुवार  23 सितंबर को नीमच जिले में 95 केंद्रों पर लगाया जाएगा कोविड टीका।○जिलेवासियों से अपील है कि  अपने नजदीकी कोविड टीकाकरण केंद्र पर जाकर अपना पहला व दूसरा डोज का टीका अवश्य लगवाएं।निम्न केंद्रों पर लगाए जाएंगे कोविड टीके।  JansamparkMP  healthminmp  CommissionerUJN https   t co tkrEbAf4OW,2021-09-22 15:00:00
3,hi,False,1440693740918636550,"○ गुरुवार  23 सितंबर को नीमच जिले में 95 केंद्रों पर लगाया जाएगा कोविड टीका।
○जिलेवासियों से अपील है कि, अपने नजदीकी कोविड टीकाकरण केंद्र पर जाकर अपना पहला व दूसरा डोज का टीका अवश्य लगवाएं।
निम्न केंद्रों पर लगाए जाएंगे कोविड टीके। @JansamparkMP @healthminmp @jd_ujjain https://t.co/86wov0qqdn",[],[],"['JansamparkMP', 'healthminmp', 'jd_ujjain']",[],India,○ गुरुवार  23 सितंबर को नीमच जिले में 95 केंद्रों पर लगाया जाएगा कोविड टीका।○जिलेवासियों से अपील है कि  अपने नजदीकी कोविड टीकाकरण केंद्र पर जाकर अपना पहला व दूसरा डोज का टीका अवश्य लगवाएं।निम्न केंद्रों पर लगाए जाएंगे कोविड टीके।  JansamparkMP  healthminmp  jd ujjain https   t co 86wov0qqdn,2021-09-22 15:00:00
4,hi,False,1440683128079589380,"कोरोना की तीसरी लहर से बचाएगा कोविड टीकाकरण
------
 26 सितंबर तक सभी को टीका का पहला डोज लगाने का लक्ष्य
------
https://t.co/VSI0s0BEzB https://t.co/ow4TSFlQY8",[],[],[],['https://t.co/VSI0s0BEzB'],India,कोरोना की तीसरी लहर से बचाएगा कोविड टीकाकरण       26 सितंबर तक सभी को टीका का पहला डोज लगाने का लक्ष्य      https   t co VSI0s0BEzB https   t co ow4TSFlQY8,2021-09-22 14:00:00
5,hi,False,1440677686314102796,"#MPVaccinationMahaAbhiyan3 के दौरान जिले में बुधवार 22 सितम्बर को जिले के 71 टीकाकरण केन्द्रों पर 5 हजार 576 नागरिकों को कोविड- 19 का टीका सायं 6.30 बजे तक लगाया जा चुका था। जिले में अब तक वैक्सीन की 9 लाख 49 हजार 158 डोज लग चुकी हैं।

RM: https://t.co/FbUiQti3ht https://t.co/kLun4xlXmj",[],['MPVaccinationMahaAbhiyan3'],[],['https://t.co/FbUiQti3ht'],India, MPVaccinationMahaAbhiyan3 के दौरान जिले में बुधवार 22 सितम्बर को जिले के 71 टीकाकरण केन्द्रों पर 5 हजार 576 नागरिकों को कोविड  19 का टीका सायं 6 30 बजे तक लगाया जा चुका था। जिले में अब तक वैक्सीन की 9 लाख 49 हजार 158 डोज लग चुकी हैं।RM  https   t co FbUiQti3ht https   t co kLun4xlXmj,2021-09-22 14:00:00
6,hi,False,1440676750225133570,"उत्तराखंड में कोविड टीका लगवाने वालों का आंकड़ा पहुंचा एक करोड़ पार*

https://t.co/lmOsiZJzkz
प्रदूषण से निपटने के लिए दिल्ली सरकार तैयार कर रही है एक्शन प्लान*

https://t.co/OELMCKPhdR
ब्रिटेन ने भारत में बनी कोरोना वैक्सीन को माना स्वीकृत वैक्सीन*

https://t.co/k24xEGUDm5",[],[],[],"['https://t.co/lmOsiZJzkz', 'https://t.co/OELMCKPhdR', 'https://t.co/k24xEGUDm5']",India,उत्तराखंड में कोविड टीका लगवाने वालों का आंकड़ा पहुंचा एक करोड़ पार https   t co lmOsiZJzkzप्रदूषण से निपटने के लिए दिल्ली सरकार तैयार कर रही है एक्शन प्लान https   t co OELMCKPhdRब्रिटेन ने भारत में बनी कोरोना वैक्सीन को माना स्वीकृत वैक्सीन https   t co k24xEGUDm5,2021-09-22 14:00:00
7,hi,False,1440653040696979481,"अब देर सायं तक लगेंगे कोविड-रोधी टीके :- डीसी कैप्टन मनोज कुमार 
- सामान्य अस्पताल, रोहतक में आज से सेवा उपलब्ध
महामारी से बचाव के लिए सभी लगवाएं  टीका :  डॉ. अनिलजीत त्रेहान
- अब तक दी जा चुकी है 7 लाख 83 हजार 963 डोज https://t.co/QXXka6QvVo",[],[],[],[],India,अब देर सायं तक लगेंगे कोविड रोधी टीके    डीसी कैप्टन मनोज कुमार   सामान्य अस्पताल  रोहतक में आज से सेवा उपलब्धमहामारी से बचाव के लिए सभी लगवाएं  टीका    डॉ  अनिलजीत त्रेहान  अब तक दी जा चुकी है 7 लाख 83 हजार 963 डोज https   t co QXXka6QvVo,2021-09-22 12:00:00
8,hi,True,1440652617416278026,"कोविड-19 टीकाकरण पर संयुक्त अरब अमीरात में नवीनतम अपडेट

#Covid19 #Vaccine
#اخترت_التطعيم
#To_Vaccine_Is_My_Choice
#ویکسین_لینا_میری_مرضی_ہے
#टीका_लगाना_मेरी_पसंद_है https://t.co/vH6cyD8Mwu",[],"['Covid19', 'Vaccine', 'اخترت_التطعيم', 'To_Vaccine_Is_My_Choice', 'ویکسین_لینا_میری_مرضی_ہے', 'टीका_लगाना_मेरी_पसंद_है']",[],[],India,कोविड 19 टीकाकरण पर संयुक्त अरब अमीरात में नवीनतम अपडेट Covid19  Vaccine اخترت التطعيم To Vaccine Is My Choice ویکسین لینا میری مرضی ہے टीका लगाना मेरी पसंद है https   t co vH6cyD8Mwu,2021-09-22 12:00:00
9,hi,True,1440650894085738501,"2 लाख 24 हजार लोगों को लग चुका है कोविड-19 टीका का प्रथम डोज
अब तक 63 हजार 342 लोगों को लग चुका है वैक्सीन का द्वितीय डोज
शासकीय चिकित्सालयों एवं निर्धारित स्थानों पर वैक्सीनेशन कार्य जारी
@ChhattisgarhCMO @DPRChhattisgarh @NileshKumar_IAS @HealthCgGov https://t.co/BPSk6h5FY2",[],[],"['ChhattisgarhCMO', 'DPRChhattisgarh', 'NileshKumar_IAS', 'HealthCgGov']",[],India,2 लाख 24 हजार लोगों को लग चुका है कोविड 19 टीका का प्रथम डोजअब तक 63 हजार 342 लोगों को लग चुका है वैक्सीन का द्वितीय डोजशासकीय चिकित्सालयों एवं निर्धारित स्थानों पर वैक्सीनेशन कार्य जारी ChhattisgarhCMO  DPRChhattisgarh  NileshKumar IAS  HealthCgGov https   t co BPSk6h5FY2,2021-09-22 12:00:00
10,hi,False,1440649606992252952,"बंगालवासी ने बिहार में लगवाया कोविड-19 टीका, कहा- वहां ₹600 देने पड़ते हैं, यहां ₹100 दिए

#NewsOutlook #NewsOutlookIndia #NewsOutlookHindiNews #NewsOutlookLiveNews #NOILiveStream #Outlook #News #newsoutlook #outlooknews https://t.co/9W2si2uXzO",[],"['NewsOutlook', 'NewsOutlookIndia', 'NewsOutlookHindiNews', 'NewsOutlookLiveNews', 'NOILiveStream', 'Outlook', 'News', 'newsoutlook', 'outlooknews']",[],[],India,बंगालवासी ने बिहार में लगवाया कोविड 19 टीका  कहा  वहां ₹600 देने पड़ते हैं  यहां ₹100 दिए NewsOutlook  NewsOutlookIndia  NewsOutlookHindiNews  NewsOutlookLiveNews  NOILiveStream  Outlook  News  newsoutlook  outlooknews https   t co 9W2si2uXzO,2021-09-22 12:00:00
11,hi,False,1440649428499529736,आज भेलाटांड़ बस्ती में वार्ड न.  22 के #पार्षद_प्रत्याषी_हिरालाल_महतो के द्वारा लगाये गए वैक्सीन कैंप में 200 लोगो ने लगाया कोविड टिका। https://t.co/0pQ1Fv2k2o,[],['पार्षद_प्रत्याषी_हिरालाल_महतो'],[],[],India,आज भेलाटांड़ बस्ती में वार्ड न   22 के  पार्षद प्रत्याषी हिरालाल महतो के द्वारा लगाये गए वैक्सीन कैंप में 200 लोगो ने लगाया कोविड टिका। https   t co 0pQ1Fv2k2o,2021-09-22 12:00:00
12,hi,False,1440648572236615681,"टीकाकरण करवाने से कोविड होने का ख़तरा अत्यंत कम होता है पर शून्य नहीं होता है - इसीलिए मास्क ठीक से पहने, भौतिक दूरी बनाये रखें, और संक्रमण नियंत्रण पर ध्यान दें।

मुंबई में आँकड़े देखें तो जिन लोगों को पूरा टीका लगा था उनमें सिर्फ़ 0.35% को कोविड हुआ

https://t.co/OvNSRoGdpn",[],[],[],['https://t.co/OvNSRoGdpn'],India,टीकाकरण करवाने से कोविड होने का ख़तरा अत्यंत कम होता है पर शून्य नहीं होता है   इसीलिए मास्क ठीक से पहने  भौतिक दूरी बनाये रखें  और संक्रमण नियंत्रण पर ध्यान दें।मुंबई में आँकड़े देखें तो जिन लोगों को पूरा टीका लगा था उनमें सिर्फ़ 0 35  को कोविड हुआhttps   t co OvNSRoGdpn,2021-09-22 12:00:00
13,hi,False,1440639824667373568,"भारत बायोटेक ने कोविड- 19 टीका लगवाने के लिए मोदी की सराहना की, कहा- टीकाकरण अभियान को  प्रोत्साहन मिलेगा

via NaMo App",[],[],[],[],India,भारत बायोटेक ने कोविड  19 टीका लगवाने के लिए मोदी की सराहना की  कहा  टीकाकरण अभियान को  प्रोत्साहन मिलेगाvia NaMo App,2021-09-22 12:00:00
14,hi,False,1440625452087791618,"Viral Video: सुई के डर से शख्स ने कोविड टीका लेने से किया मना, दोस्तों ने जमीन पर पटककर लगवाया इंजेक्शन, वीडियो देख नहीं रोक पाएंगे हंसी

https://t.co/aG9oIkv9SJ

#ViralVideo #CovidVaccine #COVID19",[],"['ViralVideo', 'CovidVaccine', 'COVID19']",[],['https://t.co/aG9oIkv9SJ'],India,Viral Video  सुई के डर से शख्स ने कोविड टीका लेने से किया मना  दोस्तों ने जमीन पर पटककर लगवाया इंजेक्शन  वीडियो देख नहीं रोक पाएंगे हंसीhttps   t co aG9oIkv9SJ ViralVideo  CovidVaccine  COVID19,2021-09-22 11:00:00
15,hi,False,1440623915752067075,"जिले में 18 से 44 वर्ष, 45 से 59 वर्ष, 60 वर्ष से अधिक आयु के व्यक्तियों, गर्भवती महिलाओं तथा शिशुवती महिलाओं द्वारा उत्साहपूर्वक कोविड-19 का टीका लगवाया जा रहा है
-
जिले में अब तक 5 लाख 32 हजार 147 व्यक्तियों ने लगवाया कोविड टीका
@healthminmp https://t.co/DSjXGerKXf",[],[],['healthminmp'],[],India,जिले में 18 से 44 वर्ष  45 से 59 वर्ष  60 वर्ष से अधिक आयु के व्यक्तियों  गर्भवती महिलाओं तथा शिशुवती महिलाओं द्वारा उत्साहपूर्वक कोविड 19 का टीका लगवाया जा रहा है जिले में अब तक 5 लाख 32 हजार 147 व्यक्तियों ने लगवाया कोविड टीका healthminmp https   t co DSjXGerKXf,2021-09-22 10:00:00
16,hi,False,1440620344402857988,"जिला उपायुक्त कठुआ राहुल यादव ने आज सभी सरकारी कार्यालय, शॉपिंग मॉल, रेस्तरां, सार्वजनिक परिवहन और जिले में अन्य सार्वजनिक स्थानो पर प्रवेश करने वाले सभी 18+ जनता के लिए अनिवार्य रूप से कोविड टीकाकरण का पहला टीका सुनिश्चित होने का आदेश जारी किया 
@districtadmkat1 @yaduvanshirahul https://t.co/8CjAfAxnWN",[],[],"['districtadmkat1', 'yaduvanshirahul']",[],India,जिला उपायुक्त कठुआ राहुल यादव ने आज सभी सरकारी कार्यालय  शॉपिंग मॉल  रेस्तरां  सार्वजनिक परिवहन और जिले में अन्य सार्वजनिक स्थानो पर प्रवेश करने वाले सभी 18  जनता के लिए अनिवार्य रूप से कोविड टीकाकरण का पहला टीका सुनिश्चित होने का आदेश जारी किया  districtadmkat1  yaduvanshirahul https   t co 8CjAfAxnWN,2021-09-22 10:00:00
17,hi,False,1440617382112739332,"टीकाकरण अभियान 
दिनांक 22 सितंबर 2021

आप अपना, अपने परिवार का, अपने परिचितों का कोविड-19 टीकाकरण अवश्य कराएं और टीकाकरण से छूटे हुए अन्य लोगों को भी कोविड-19 का टीका लगवाने हेतु प्रेरित करें। @JanSamparkMP_ #MPVaccinationMahaAbhiyan3 @CMMadhyaPradesh https://t.co/wXgkfeytZC",[],['MPVaccinationMahaAbhiyan3'],"['JanSamparkMP_', 'CMMadhyaPradesh']",[],India,टीकाकरण अभियान दिनांक 22 सितंबर 2021आप अपना  अपने परिवार का  अपने परिचितों का कोविड 19 टीकाकरण अवश्य कराएं और टीकाकरण से छूटे हुए अन्य लोगों को भी कोविड 19 का टीका लगवाने हेतु प्रेरित करें।  JanSamparkMP   MPVaccinationMahaAbhiyan3  CMMadhyaPradesh https   t co wXgkfeytZC,2021-09-22 10:00:00
