,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi
0,en,1440814610982969355,1621670822,The nurse apologised to the dragon tattoo on my arm before putting the needle in  making my second dose almost as good as the first  in which the nurse and I discussed fantasy novels  ,1440818283305832456,False,The nurse apologised to the dragon tattoo on my arm before putting the needle in  making my second dose almost as good as the first  in which the nurse and I discussed fantasy novels  ,2021-09-22T23:20:22.000Z,USA,"The nurse apologised to the dragon tattoo on my arm before putting the needle in, making my second dose almost as good as the first (in which the nurse and I discussed fantasy novels).",[],[],[],['https://t.co/9aC4dbKX21'],
1,en,1440263700988891142,946666593152409600, its mr naik Okay,1440606979630645254,False, its mr naik Okay,2021-09-22T09:20:43.000Z,USA,@its_mr_naik Okay,[],[],['its_mr_naik'],[],
2,en,1439862554902159361,1518484742, Gitanjlimathur Congratulations ,1440313137031368720,False, Gitanjlimathur Congratulations ,2021-09-21T13:53:06.000Z,USA,@Gitanjlimathur Congratulations.,[],[],['Gitanjlimathur'],[],
3,hi,1439862554902159361,1518484742, Gitanjlimathur बधाई ,1439938328023887874,False,,2021-09-20T13:03:44.000Z,USA,@Gitanjlimathur बधाई 🤗🤗,['🤗'],[],['Gitanjlimathur'],[], Gitanjlimathur बधाई 
4,en,1439862554902159361,1518484742, Gitanjlimathur Congratulations Gitanjli ji now you are safe,1439862921614397443,False, Gitanjlimathur Congratulations Gitanjli ji now you are safe,2021-09-20T08:04:06.000Z,USA,@Gitanjlimathur Congratulations Gitanjli ji now you are safe,[],[],['Gitanjlimathur'],[],
5,en,1439011316912594945,1428391541979111424, e mgarcia2002 I don’t look forward to it  ,1439017821871218694,False, e mgarcia2002 I don’t look forward to it  ,2021-09-18T00:05:59.000Z,USA,@e_mgarcia2002 I don’t look forward to it. 😩,['😩'],[],['e_mgarcia2002'],[],
6,en,1439011316912594945,1428391541979111424,  Adriana Marisa Mine was sore for like 3 days  Crazy ,1439015129975296013,False,  Adriana Marisa Mine was sore for like 3 days  Crazy ,2021-09-17T23:55:17.000Z,USA,@_Adriana_Marisa Mine was sore for like 3 days. Crazy.,[],[],['_Adriana_Marisa'],[],
