,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
0,es,1441122023577722881,286409975,Varios miembros del comité han resaltado que la dosis adicional no soluciona el problema más grave que afecta la nación  las personas que NO están vacunadas contra COVID 19   UnivisionDC,1441122324724453377,False,Varios miembros del comité han resaltado que la dosis adicional no soluciona el problema más grave que afecta la nación  las personas que NO están vacunadas contra COVID 19   UnivisionDC,2021-09-23T19:28:31.000Z,Mexico,"Varios miembros del comité han resaltado que la dosis adicional no soluciona el problema más grave que afecta la nación, las personas que NO están vacunadas contra COVID-19. @UnivisionDC",[],[],[],['https://t.co/iXaDAf7Dpr'],
1,es,1441121784774885381,354223574,Estamos ante una RAM con  mayúsculas  por así decirlo ,1441121985384239108,False,Estamos ante una RAM con  mayúsculas  por así decirlo ,2021-09-23T19:27:10.000Z,Mexico,"Estamos ante una RAM con ""mayúsculas"" por así decirlo.",[],[],[],[],
2,es,1441121167566413824,1176743138372796417, paulamacias  tienes fiebre ,1441122382530310146,False, paulamacias  tienes fiebre ,2021-09-23T19:28:45.000Z,Mexico,@paulamacias_ tienes fiebre?,[],[],['paulamacias_'],[],
3,es,1441121167566413824,1176743138372796417, paulafuentee yo me la he dado ayer  al principio todo eran risas hasta que llegó la noche,1441122192180219906,False, paulafuentee yo me la he dado ayer  al principio todo eran risas hasta que llegó la noche,2021-09-23T19:28:00.000Z,Mexico,"@paulafuentee yo me la he dado ayer, al principio todo eran risas hasta que llegó la noche",[],[],['paulafuentee'],[],
4,es,1441121167566413824,1176743138372796417, paulamacias  ME LO DOY MAÑANA QUE MIEDO,1441122031420858369,False, paulamacias  ME LO DOY MAÑANA QUE MIEDO,2021-09-23T19:27:21.000Z,Mexico,@paulamacias_ ME LO DOY MAÑANA QUE MIEDO,[],[],['paulamacias_'],[],
5,es,1441121091431378945,389000539, Jose  Davalos Jajaja,1441122283519610881,False, Jose  Davalos Jajaja,2021-09-23T19:28:21.000Z,Mexico,@Jose__Davalos Jajaja,[],[],['Jose__Davalos'],[],
6,es,1441121091431378945,389000539, claudia3110 Parece que va con el certificado ,1441121889120763908,False, claudia3110 Parece que va con el certificado ,2021-09-23T19:26:47.000Z,Mexico,@claudia3110 Parece que va con el certificado 🤣🤣🤣🤣,['🤣'],[],['claudia3110'],[],
7,es,1441121091431378945,389000539, claudia3110 Yo no me tomé ninguna foto  no pertenezco a esa generación de faltos de atención ,1441121714075799557,False, claudia3110 Yo no me tomé ninguna foto  no pertenezco a esa generación de faltos de atención ,2021-09-23T19:26:06.000Z,Mexico,"@claudia3110 Yo no me tomé ninguna foto, no pertenezco a esa generación de faltos de atención.",[],[],['claudia3110'],[],
8,es,1441120699205234688,1218787893725941761, AlmaMagica32 Alma me da gusto saberlo  Gracias a ti por la confianza  Besos  Linda tarde ,1441121007545192455,True, AlmaMagica32 Alma me da gusto saberlo  Gracias a ti por la confianza  Besos  Linda tarde ,2021-09-23T19:23:17.000Z,Mexico,@AlmaMagica32 Alma me da gusto saberlo. Gracias a ti por la confianza. Besos. Linda tarde.,[],[],['AlmaMagica32'],[],
9,es,1441120315560509444,594917779,También primera y segunda de AstraZeneca ,1441120385366331398,False,También primera y segunda de AstraZeneca ,2021-09-23T19:20:49.000Z,Mexico,También primera y segunda de AstraZeneca.,[],[],[],[],
