,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
0,es,1441204793234522116,213840361, santosjorgeh Mienten tanto,1441209990614634500,False, santosjorgeh Mienten tanto,2021-09-24T01:16:52.000Z,Mexico,@santosjorgeh Mienten tanto,[],[],['santosjorgeh'],[],
1,es,1441202261032456195,19624061, el Periodico Ya regresaré a Wuatemala para poner orden de nuevo  Hacen falta mis órdenes en inglés  como dice mi muy transero amigo  MarioTaracena,1441203456895713287,False, el Periodico Ya regresaré a Wuatemala para poner orden de nuevo  Hacen falta mis órdenes en inglés  como dice mi muy transero amigo  MarioTaracena,2021-09-24T00:50:55.000Z,Mexico,"@el_Periodico Ya regresaré a Wuatemala para poner orden de nuevo. Hacen falta mis órdenes en inglés, como dice mi muy transero amigo @MarioTaracena",[],[],['el_Periodico'],['https://t.co/YxLPkOItSp'],
2,es,1441201738803937280,2635674959, pelirrojadel88 Claro  nadie la rechaza  Yo tampoco lo haría  Y eso que no soy fan de Julen ,1441203521727041537,False, pelirrojadel88 Claro  nadie la rechaza  Yo tampoco lo haría  Y eso que no soy fan de Julen ,2021-09-24T00:51:10.000Z,Mexico,"@pelirrojadel88 Claro, nadie la rechaza. Yo tampoco lo haría. Y eso que no soy fan de Julen.",[],[],['pelirrojadel88'],[],
3,es,1441201561363963904,740391658857091072, agustcot Que chasco  me había ilusionado con no usar más barbijo ,1441204586543403009,False, agustcot Que chasco  me había ilusionado con no usar más barbijo ,2021-09-24T00:55:24.000Z,Mexico,"@agustcot Que chasco, me había ilusionado con no usar más barbijo.",[],[],['agustcot'],[],
4,es,1441200909443211272,1440043013669986315, nnataliarivas ¿Y qué tenía que hacer  ¿Llorar  Que además la mala cara les llegaba al suelo antes de que ella eligiese siquiera  Secret23S  SecretGala2,1441201905145761799,False, nnataliarivas ¿Y qué tenía que hacer  ¿Llorar  Que además la mala cara les llegaba al suelo antes de que ella eligiese siquiera  Secret23S  SecretGala2,2021-09-24T00:44:45.000Z,Mexico,@nnataliarivas ¿Y qué tenía que hacer? ¿Llorar? Que además la mala cara les llegaba al suelo antes de que ella eligiese siquiera #Secret23S #SecretGala2,[],[],['nnataliarivas'],['https://t.co/ksSm0Ef7gZ'],
5,es,1441200909443211272,1440043013669986315, Miss  Shhh Da igual si es inmune o no    Que se mofeara de la consecuencia es lo que les molesta      ,1441201187294941191,False, Miss  Shhh Da igual si es inmune o no    Que se mofeara de la consecuencia es lo que les molesta      ,2021-09-24T00:41:53.000Z,Mexico,@Miss__Shhh Da igual si es inmune o no!!! Que se mofeara de la consecuencia es lo que les molesta!!!!!!,[],[],['Miss__Shhh'],[],
6,es,1441200673064845316,314810916, Nutdana Encima Julen miente  lo que le faltaba   Ella no sabía que la consecuencia era para todos cuando aceptó  dijo  pues hago lo que haga falta  pensando que era sólo para ella   Secret24s,1441201870156931074,False, Nutdana Encima Julen miente  lo que le faltaba   Ella no sabía que la consecuencia era para todos cuando aceptó  dijo  pues hago lo que haga falta  pensando que era sólo para ella   Secret24s,2021-09-24T00:44:36.000Z,Mexico,"@Nutdana Encima Julen miente, lo que le faltaba.. Ella no sabía que la consecuencia era para todos cuando aceptó, dijo ""pues hago lo que haga falta"" pensando que era sólo para ella. #Secret24s",[],[],['Nutdana'],['https://t.co/MKzjC7KoR3'],
7,es,1441200673064845316,314810916, Nutdana Kajajajajaja anda que se lo ha pensado mucho  Fuera lo que fuera  con dos ovarios ha dicho que sí ,1441201648794144769,False, Nutdana Kajajajajaja anda que se lo ha pensado mucho  Fuera lo que fuera  con dos ovarios ha dicho que sí ,2021-09-24T00:43:43.000Z,Mexico,@Nutdana Kajajajajaja anda que se lo ha pensado mucho. Fuera lo que fuera  con dos ovarios ha dicho que sí.,[],[],['Nutdana'],[],
8,es,1441200327290548229,3270504711,Qué es eso de pedirnos votar y luego no enseñarnos cómo quedan ,1441200577979895820,False,Qué es eso de pedirnos votar y luego no enseñarnos cómo quedan ,2021-09-24T00:39:28.000Z,Mexico,Qué es eso de pedirnos votar y luego no enseñarnos cómo quedan?,[],[],[],[],
9,es,1441199646978686982,235309167,  saragp3 Buenas noches,1441200189256003591,False,  saragp3 Buenas noches,2021-09-24T00:37:55.000Z,Mexico,@_saragp3 Buenas noches,[],[],['_saragp3'],[],
10,es,1441199646978686982,235309167,  saragp3 Ojalá  ,1441199907306713088,False,  saragp3 Ojalá  ,2021-09-24T00:36:48.000Z,Mexico,@_saragp3 Ojalá! 🥰,['🥰'],[],['_saragp3'],[],
11,es,1441199312843673604,97513349, ecuavisa Dejen de vender humo  las nuevas variantes cambiaron la ecuación de la inmunidad de rebaño aparte que el tratamiento que están inoculando no evita los  contagios,1441201101324185605,False, ecuavisa Dejen de vender humo  las nuevas variantes cambiaron la ecuación de la inmunidad de rebaño aparte que el tratamiento que están inoculando no evita los  contagios,2021-09-24T00:41:33.000Z,Mexico,"@ecuavisa Dejen de vender humo, las nuevas variantes cambiaron la ecuación de la inmunidad de rebaño aparte que el tratamiento que están inoculando no evita los  contagios",[],[],['ecuavisa'],['https://t.co/tik43mNkAD'],
12,es,1441198459596460032,1203875826363699209, Rosi90261882 Tiene que irse Sandra ,1441205120008552451,False, Rosi90261882 Tiene que irse Sandra ,2021-09-24T00:57:31.000Z,Mexico,@Rosi90261882 Tiene que irse Sandra.,[],[],['Rosi90261882'],[],
13,es,1441198459596460032,1203875826363699209, Rosi90261882 Esta noche han caído varias caretas Qué gente más retorcida y mala  oye   ,1441202753980805121,False, Rosi90261882 Esta noche han caído varias caretas Qué gente más retorcida y mala  oye   ,2021-09-24T00:48:07.000Z,Mexico,"@Rosi90261882 Esta noche han caído varias caretas.
Qué gente más retorcida y mala, oye!!!",[],[],['Rosi90261882'],[],
14,es,1441198459596460032,1203875826363699209, Stop1111Stop No soporto las injusticias y los Tongazos menos   y los traidores ya ni te cuento ,1441202293907472386,False, Stop1111Stop No soporto las injusticias y los Tongazos menos   y los traidores ya ni te cuento ,2021-09-24T00:46:17.000Z,Mexico,@Stop1111Stop No soporto las injusticias y los Tongazos menos...y los traidores ya ni te cuento 😡😡,['😡'],[],['Stop1111Stop'],[],
15,es,1441198459596460032,1203875826363699209, vidasanamadrid Unos cerdos    ojalá vaya saliendo uno a uno   y Luca ganador,1441201282711101445,False, vidasanamadrid Unos cerdos    ojalá vaya saliendo uno a uno   y Luca ganador,2021-09-24T00:42:16.000Z,Mexico,@vidasanamadrid Unos cerdos... ojalá vaya saliendo uno a uno...y Luca ganador,[],[],['vidasanamadrid'],[],
