,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_en
0,es,1441141424053899268,235605750, Actualización VacunaCOVID19Además  Jorge Cifuentes director de salud de la Policía Nacional Civil  aseguró que el día de mañana 24 de septiembre  inició la vacunación de segunda dosis para los agentes de la  PNC que aún no cuenten con el esquema completo  AngelE Perea https   t co F7s7mszRrE,1441141433692352520,False, Actualización VacunaCOVID19Además  Jorge Cifuentes director de salud de la Policía Nacional Civil  aseguró que el día de mañana 24 de septiembre  inició la vacunación de segunda dosis para los agentes de la  PNC que aún no cuenten con el esquema completo  AngelE Perea https   t co F7s7mszRrE,2021-09-23T20:44:27.000Z,Mexico,"#Actualización
#VacunaCOVID19

Además, Jorge Cifuentes director de salud de la Policía Nacional Civil, aseguró que el día de mañana 24 de septiembre, inició la vacunación de segunda dosis para los agentes de la #PNC que aún no cuenten con el esquema completo.

@AngelE_Perea https://t.co/F7s7mszRrE",[],"['Actualización', 'VacunaCOVID19']",[],['https://t.co/PggshY6AVw'],
1,es,1441131053918265348,1319306448, juank23 7 Un señor de mi cuadra  de 65 años  No quiere vacunarse porque dice que ya le dio covid y que ya tiene anticuerpos  A pesar que intento disuadirlo hace meses  nada ,1441135370410754049,False, juank23 7 Un señor de mi cuadra  de 65 años  No quiere vacunarse porque dice que ya le dio covid y que ya tiene anticuerpos  A pesar que intento disuadirlo hace meses  nada ,2021-09-23T20:20:21.000Z,Mexico,"@juank23_7 Un señor de mi cuadra, de 65 años. No quiere vacunarse porque dice que ya le dio covid y que ya tiene anticuerpos. A pesar que intento disuadirlo hace meses, nada.",[],[],['juank23_7'],['https://t.co/PBsFJqYaYP'],
2,es,1441131053918265348,1319306448, juank23 7 Y qué se puede hacer con esa gente que NO se va a vacunar ,1441132736748552194,False, juank23 7 Y qué se puede hacer con esa gente que NO se va a vacunar ,2021-09-23T20:09:54.000Z,Mexico,@juank23_7 Y qué se puede hacer con esa gente que NO se va a vacunar?,[],[],['juank23_7'],[],
3,es,1441114802496028679,69952876, raulreyesp Te falta mucho aún  Porque te pusiste recién las primeras dosis,1441139101265240064,False, raulreyesp Te falta mucho aún  Porque te pusiste recién las primeras dosis,2021-09-23T20:35:11.000Z,Mexico,@raulreyesp Te falta mucho aún! Porque te pusiste recién las primeras dosis,[],[],['raulreyesp'],[],
4,es,1441114802496028679,69952876, caroIinatorres Jajaja y yo como lo hagooo ,1441123886033080323,False, caroIinatorres Jajaja y yo como lo hagooo ,2021-09-23T19:34:43.000Z,Mexico,@caroIinatorres Jajaja y yo como lo hagooo 😭😭😭,['😭'],[],['caroIinatorres'],[],
5,es,1441105393367670796,1319306448, juank23 7 Virtualmente para la quincena de octubre ya tendríamos al 50  de la población objetivo vacunada  teniendo en cuenta el porcentaje de población con primeras dosis hasta la fecha,1441111605547130887,False, juank23 7 Virtualmente para la quincena de octubre ya tendríamos al 50  de la población objetivo vacunada  teniendo en cuenta el porcentaje de población con primeras dosis hasta la fecha,2021-09-23T18:45:55.000Z,Mexico,"@juank23_7 Virtualmente para la quincena de octubre ya tendríamos al 50% de la población objetivo vacunada, teniendo en cuenta el porcentaje de población con primeras dosis hasta la fecha",[],[],['juank23_7'],['https://t.co/DKdSwdcCrH'],
6,es,1441105350158008322,59350214, jmorapo  CCSSdeCostaRica  presidenciacr Informarse es gratis  Se ha elicado el porqué de lo que usted indica,1441112576507596802,False, jmorapo  CCSSdeCostaRica  presidenciacr Informarse es gratis  Se ha elicado el porqué de lo que usted indica,2021-09-23T18:49:47.000Z,Mexico,@jmorapo @CCSSdeCostaRica @presidenciacr Informarse es gratis. Se ha explicado el porqué de lo que usted indica,['xp'],[],"['jmorapo', 'CCSSdeCostaRica', 'presidenciacr']",[],
7,es,1441105350158008322,59350214, sagotmontse  jmorapo  CCSSdeCostaRica  presidenciacr Selectiva o negocio ,1441107014449434629,False, sagotmontse  jmorapo  CCSSdeCostaRica  presidenciacr Selectiva o negocio ,2021-09-23T18:27:41.000Z,Mexico,@sagotmontse @jmorapo @CCSSdeCostaRica @presidenciacr Selectiva o negocio.,[],[],"['sagotmontse', 'jmorapo', 'CCSSdeCostaRica', 'presidenciacr']",[],
8,es,1441105350158008322,59350214, jmorapo  CCSSdeCostaRica  presidenciacr Selectiva o negocio ,1441106940201877506,False, jmorapo  CCSSdeCostaRica  presidenciacr Selectiva o negocio ,2021-09-23T18:27:23.000Z,Mexico,@jmorapo @CCSSdeCostaRica @presidenciacr Selectiva o negocio.,[],[],"['jmorapo', 'CCSSdeCostaRica', 'presidenciacr']",[],
9,es,1441105350158008322,59350214, jmorapo  CCSSdeCostaRica  presidenciacr La vacuna que está disponible en este momento  la AstraZeneca  no ha sido autorizada para uso en personas menores de 18 años  Y según entendí  no se puede adelantar dosis a la gente que le pusieron Pfizer porque hay poca disponibilidad de esa vacuna ,1441106355599785986,False, jmorapo  CCSSdeCostaRica  presidenciacr La vacuna que está disponible en este momento  la AstraZeneca  no ha sido autorizada para uso en personas menores de 18 años  Y según entendí  no se puede adelantar dosis a la gente que le pusieron Pfizer porque hay poca disponibilidad de esa vacuna ,2021-09-23T18:25:04.000Z,Mexico,"@jmorapo @CCSSdeCostaRica @presidenciacr La vacuna que está disponible en este momento, la AstraZeneca, no ha sido autorizada para uso en personas menores de 18 años. Y según entendí, no se puede adelantar dosis a la gente que le pusieron Pfizer porque hay poca disponibilidad de esa vacuna.",[],[],"['jmorapo', 'CCSSdeCostaRica', 'presidenciacr']",['https://t.co/gw0DPM8xA3'],
