,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_es,text_hi
16,en,1440853605116833796,803694179079458816, VP Why aren’t you at the border If you can’t be at the border why aren’t you speaking up about it  ,1441000604231368708,False, VP Why aren’t you at the border If you can’t be at the border why aren’t you speaking up about it  ,2021-09-23T11:24:51.000Z,USA,"@VP Why aren’t you at the border?
If you can’t be at the border why aren’t you speaking up about it ?",[],[],['VP'],[],,
17,en,1440853605116833796,803694179079458816, VP Heartbreaking to see your highest lifetime dreams vanishing  No words could eress the pain  stress and anxiety that  DV2021 winners are feeling  Very painful  Dear   USEmbassyCairo   USAinKSA   DV2021   KCC NOT WORKING  saveDV2021,1441000570798723073,False, VP Heartbreaking to see your highest lifetime dreams vanishing  No words could eress the pain  stress and anxiety that  DV2021 winners are feeling  Very painful  Dear   USEmbassyCairo   USAinKSA   DV2021   KCC NOT WORKING  saveDV2021,2021-09-23T11:24:43.000Z,USA,"@VP Heartbreaking to see your highest lifetime dreams vanishing. No words could express the pain, stress and anxiety that #DV2021 winners are feeling. Very painful. Dear  @USEmbassyCairo  @USAinKSA  #DV2021  #KCC_NOT_WORKING #saveDV2021",['xp'],[],['VP'],['https://t.co/wz3IU8J9i4'],,
18,en,1440853605116833796,803694179079458816, VP Look how America is selfish  Samantha condemned Sudanese  rebels  but contrary support  TPLF terrorist  in Ethiopia America  always  works for her benefit under the cover  of safeguard  democracy ,1441000558844956676,False, VP Look how America is selfish  Samantha condemned Sudanese  rebels  but contrary support  TPLF terrorist  in Ethiopia America  always  works for her benefit under the cover  of safeguard  democracy ,2021-09-23T11:24:40.000Z,USA,"@VP Look how America is selfish, Samantha condemned Sudanese  rebels, but contrary support  TPLF terrorist  in Ethiopia.America  always  works for her benefit under the cover  of safeguard  democracy.",[],[],['VP'],['https://t.co/sSpcjhkgdR'],,
19,en,1440853605116833796,803694179079458816, MsnbcCnn  VP But he was totally conscious with officer murderman on his neck Likely story ,1441000292040970241,False, MsnbcCnn  VP But he was totally conscious with officer murderman on his neck Likely story ,2021-09-23T11:23:36.000Z,USA,"@MsnbcCnn @VP But he was totally conscious with officer murderman on his neck.

Likely story.",[],[],"['MsnbcCnn', 'VP']",[],,
20,en,1440853605116833796,803694179079458816, VP Floyd drove vehicle under influence of drugs  Meth AND Fentanyl   He passed counterfeit currency to obtain ill gotten good  He refused multiple requests to return the goods  He refused or was unable  due to being under the influence  to follow police commands  He resisted arrest ,1441000274101997569,False, VP Floyd drove vehicle under influence of drugs  Meth AND Fentanyl   He passed counterfeit currency to obtain ill gotten good  He refused multiple requests to return the goods  He refused or was unable  due to being under the influence  to follow police commands  He resisted arrest ,2021-09-23T11:23:32.000Z,USA,"@VP Floyd drove vehicle under influence of drugs (Meth AND Fentanyl). He passed counterfeit currency to obtain ill gotten good. He refused multiple requests to return the goods. He refused or was unable, due to being under the influence, to follow police commands. He resisted arrest.",[],[],['VP'],['https://t.co/MdefNWJD7G'],,
21,en,1440853605116833796,803694179079458816, VP  INVITE USThis is once in a lifetime chance  Plz save my dream  Do not let it be lost  DV2021 iranianDVwinners Justice For DV  WhiteHouse  SEE US USEmbassyTurkey  usembarmenia  USAinUAE  whitehouse  SecBlinken  TravelGov https   t co 5FGJKgn1j0,1440999859155136512,False, VP  INVITE USThis is once in a lifetime chance  Plz save my dream  Do not let it be lost  DV2021 iranianDVwinners Justice For DV  WhiteHouse  SEE US USEmbassyTurkey  usembarmenia  USAinUAE  whitehouse  SecBlinken  TravelGov https   t co 5FGJKgn1j0,2021-09-23T11:21:53.000Z,USA,"@VP #INVITE_US
This is once-in-a-lifetime-chance. Plz save my dream. Do not let it be lost.
#DV2021
#iranianDVwinners
#Justice_For_DV 
#WhiteHouse 
#SEE_US
@USEmbassyTurkey @usembarmenia @USAinUAE @whitehouse @SecBlinken @TravelGov https://t.co/5FGJKgn1j0",[],"['INVITE_US', 'DV2021']",['VP'],['https://t.co/I9O03E81dy'],,
22,en,1440853605116833796,803694179079458816, VP That is so not true and you know it,1440999608067497988,False, VP That is so not true and you know it,2021-09-23T11:20:53.000Z,USA,@VP That is so not true and you know it,[],[],['VP'],[],,
23,en,1440853605116833796,803694179079458816, VP You are one of these people putting black men in prison knowing they were Innocent and then hit the evidence and covered it up,1440999607752867842,False, VP You are one of these people putting black men in prison knowing they were Innocent and then hit the evidence and covered it up,2021-09-23T11:20:53.000Z,USA,@VP You are one of these people putting black men in prison knowing they were Innocent and then hit the evidence and covered it up,[],[],['VP'],[],,
24,en,1440853605116833796,803694179079458816, VP Millions of people also marched against the murdering of Black people from race soldiers  you call cops  to white Supremacist and you stayed QUIET   You are a non  Black CON ARTIST  whose daddy is even ashamed of you   You’re EOSED  ,1440999217657532418,False, VP Millions of people also marched against the murdering of Black people from race soldiers  you call cops  to white Supremacist and you stayed QUIET   You are a non  Black CON ARTIST  whose daddy is even ashamed of you   You’re EOSED  ,2021-09-23T11:19:20.000Z,USA,"@VP Millions of people also marched against the murdering of Black people from race soldiers (you call cops) to white Supremacist and you stayed QUIET!! You are a non- Black CON ARTIST, whose daddy is even ashamed of you!! You’re EXPOSED!!",['XP'],[],['VP'],['https://t.co/Apy0vnNMbI'],,
25,en,1440853605116833796,803694179079458816, VP Thank God common sense prevailed  Sparticus is an idiot…,1440999085092315138,False, VP Thank God common sense prevailed  Sparticus is an idiot…,2021-09-23T11:18:49.000Z,USA,@VP Thank God common sense prevailed. Sparticus is an idiot…,[],[],['VP'],[],,
