,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_es
273,en,HillaryClinton,1339835893,True,1364313392320815109,"I'm thrilled to be writing my first book of fiction with Louise Penny, one of my favorite authors and a dear friend. Get ready for some high-stakes diplomacy and treachery. https://t.co/f7yybDWjqz https://t.co/St4BNwgBK0",[],[],[],['https://t.co/f7yybDWjqz'],USA,I m thrilled to be writing my first book of fiction with Louise Penny  one of my favorite authors and a dear friend  Get ready for some high stakes diplomacy and treachery  https   t co f7yybDWjqz https   t co St4BNwgBK0,2021-02-23 21:00:00,
274,en,HillaryClinton,1339835893,True,1364238578272919552,"We can have democracy, or we can have tech companies with unbridled control of the information landscape. But we can't have both.

Don't miss my conversations with @tristanharris of @humanetech_ and @mariaressa of @Rapplerdotcom on You And Me Both. https://t.co/ABmgWXJsEV https://t.co/Jj8ZuYqd2K",[],[],"['tristanharris', 'HumaneTech_', 'mariaressa', 'rapplerdotcom']",['https://t.co/ABmgWXJsEV'],USA,We can have democracy  or we can have tech companies with unbridled control of the information landscape  But we can t have both Don t miss my conversations with  tristanharris of  humanetech  and  mariaressa of  Rapplerdotcom on You And Me Both  https   t co ABmgWXJsEV https   t co Jj8ZuYqd2K,2021-02-23 16:00:00,
275,en,HillaryClinton,1339835893,True,1364223809478299651,"To begin to heal, we must recognize the depth and breadth of our loss. 

My heart goes out to everyone mourning. https://t.co/6O5bSXiXkh",[],[],[],['https://t.co/6O5bSXiXkh'],USA,To begin to heal  we must recognize the depth and breadth of our loss  My heart goes out to everyone mourning  https   t co 6O5bSXiXkh,2021-02-23 15:00:00,
276,en,HillaryClinton,1339835893,True,1363858352942505994,"We need a new language of hope. @TheAmandaGorman is writing it. 

Listen to our conversation on the season two debut of You And Me Both, recorded just before TIME included her on their 100Next list. https://t.co/YsrPLXrWct https://t.co/Pw0dlCIif3",[],[],['TheAmandaGorman'],['https://t.co/YsrPLXrWct'],USA,We need a new language of hope   TheAmandaGorman is writing it  Listen to our conversation on the season two debut of You And Me Both  recorded just before TIME included her on their 100Next list  https   t co YsrPLXrWct https   t co Pw0dlCIif3,2021-02-22 14:00:00,
277,en,HillaryClinton,1339835893,True,1362809943380918272,Supporting @FeedingTexas is another great opportunity to help Texans in need. Please pitch in if you can. https://t.co/4f3L9Nros4,[],[],['FeedingTexas'],['https://t.co/4f3L9Nros4'],USA,Supporting  FeedingTexas is another great opportunity to help Texans in need  Please pitch in if you can  https   t co 4f3L9Nros4,2021-02-19 17:00:00,
278,en,HillaryClinton,1339835893,True,1362800416900153344,Don't vote for anyone you wouldn't trust with your dog.,[],[],[],[],USA,Don t vote for anyone you wouldn t trust with your dog ,2021-02-19 16:00:00,
279,en,HillaryClinton,1339835893,True,1362429597623717893,"Here's how to help those affected by the extreme weather in Texas, and how to get help if you need it. Stay safe.

https://t.co/rVdDlZKvCt",[],[],[],['https://t.co/rVdDlZKvCt'],USA,Here s how to help those affected by the extreme weather in Texas  and how to get help if you need it  Stay safe https   t co rVdDlZKvCt,2021-02-18 16:00:00,
280,en,HillaryClinton,1339835893,True,1362111350521159681,"I can't think of better company for International Women's Day than @speakerpelosi and @chrissyteigen. 

Become an @onwardtogether member and join us for our March 8 conversation to help elect more Democratic women to office.

https://t.co/YrDrEtFTxu https://t.co/ebvNiscHJ9",[],[],"['SpeakerPelosi', 'chrissyteigen', 'OnwardTogether']",['https://t.co/YrDrEtFTxu'],USA,I can t think of better company for International Women s Day than  speakerpelosi and  chrissyteigen  Become an  onwardtogether member and join us for our March 8 conversation to help elect more Democratic women to office https   t co YrDrEtFTxu https   t co ebvNiscHJ9,2021-02-17 19:00:00,
281,en,HillaryClinton,1339835893,True,1361702975530491909,"As we turned the page to a new administration, @TheAmandaGorman saw ""hope and kindness re-enter American rhetoric."" She also became a national phenomenon.  

Don't miss my conversation with this extraordinary young woman in You &amp; Me Both's season 2 debut. https://t.co/YsrPLXrWct https://t.co/rzADzdSHK3",[],[],['TheAmandaGorman'],['https://t.co/YsrPLXrWct'],USA,As we turned the page to a new administration   TheAmandaGorman saw  hope and kindness re enter American rhetoric   She also became a national phenomenon   Don t miss my conversation with this extraordinary young woman in You  amp  Me Both s season 2 debut  https   t co YsrPLXrWct https   t co rzADzdSHK3,2021-02-16 16:00:00,
282,en,HillaryClinton,1339835893,True,1361679382532734985,"I'm thinking of everyone facing power outages and extreme weather in Texas today. If you're not affected and looking to help, there are some good options at the bottom of this @texastribune piece. https://t.co/oknRfq91Lj",[],[],['TexasTribune'],['https://t.co/oknRfq91Lj'],USA,I m thinking of everyone facing power outages and extreme weather in Texas today  If you re not affected and looking to help  there are some good options at the bottom of this  texastribune piece  https   t co oknRfq91Lj,2021-02-16 14:00:00,
