,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_es
342,en,JoeBiden,939091,True,1337425156898246662,"I’m honored to be Person of the Year with @KamalaHarris and grateful to be on this list with so many extraordinary folks. From front line workers to racial justice organizers, Americans met this year with strength, fortitude, and an unflinching belief in a brighter tomorrow. https://t.co/zrCCb4O6xp",['xp'],[],['KamalaHarris'],['https://t.co/zrCCb4O6xp'],USA,I’m honored to be Person of the Year with  KamalaHarris and grateful to be on this list with so many extraordinary folks  From front line workers to racial justice organizers  Americans met this year with strength  fortitude  and an unflinching belief in a brighter tomorrow  https   t co zrCCb4O6,2020-12-11 16:00:00,
343,en,JoeBiden,939091,True,1337246228028022785,"Yesterday marked another tragic, preventable milestone in our fight against COVID-19, but this news is a bright light. I’m grateful for every scientist, researcher, and public health expert who made it possible. https://t.co/ooDP8SZFrk",['xp'],[],[],['https://t.co/ooDP8SZFrk'],USA,Yesterday marked another tragic  preventable milestone in our fight against COVID 19  but this news is a bright light  I’m grateful for every scientist  researcher  and public health eert who made it possible  https   t co ooDP8SZFrk,2020-12-11 04:00:00,
344,en,JoeBiden,939091,True,1337198412727529472,"Folks, we just added new items to the @BidenInaugural store that I know you won’t want to miss. Head to https://t.co/j1ZK7kyMj6 to stock up today.",[],[],['BidenInaugural'],['https://t.co/j1ZK7kyMj6'],USA,Folks  we just added new items to the  BidenInaugural store that I know you won’t want to miss  Head to https   t co j1ZK7kyMj6 to stock up today ,2020-12-11 01:00:00,
345,en,JoeBiden,939091,True,1337151353039314944,"As Hanukkah begins, Jill and I send our warmest wishes to everyone celebrating in the United States and around the world. We know things look a little different this year, but we hope these next eight nights are filled with family, love, and light. Chag Sameach!",[],[],[],[],USA,As Hanukkah begins  Jill and I send our warmest wishes to everyone celebrating in the United States and around the world  We know things look a little different this year  but we hope these next eight nights are filled with family  love  and light  Chag Sameach ,2020-12-10 22:00:00,
346,en,JoeBiden,939091,True,1337143047990099969,We must prepare to meet the challenges of the future — not keep fighting the wars of the past. https://t.co/MI4uXHUyKG,[],[],[],[],USA,We must prepare to meet the challenges of the future — not keep fighting the wars of the past  https   t co MI4uXHUyKG,2020-12-10 21:00:00,
347,en,JoeBiden,939091,True,1337117882367442944,"The Georgia Senate runoffs are crucial — it’s why I’ll be traveling there next Tuesday. But we all need to do our part to make sure we win these races. If you’re able, chip in to our new Flip Georgia Fund to help us take back the Senate. https://t.co/BHsyS0Y41i",[],[],[],['https://t.co/BHsyS0Y41i'],USA,The Georgia Senate runoffs are crucial — it’s why I’ll be traveling there next Tuesday  But we all need to do our part to make sure we win these races  If you’re able  chip in to our new Flip Georgia Fund to help us take back the Senate  https   t co BHsyS0Y41i,2020-12-10 20:00:00,
348,en,JoeBiden,939091,True,1337092213063385088,"This group will do critical work on behalf of every American.

Their jobs are where rubber meets the road — where governance can make a meaningful difference in people’s lives, advancing prosperity for all Americans. https://t.co/fcKQ7kXQuR",[],[],[],['https://t.co/fcKQ7kXQuR'],USA,This group will do critical work on behalf of every American Their jobs are where rubber meets the road — where governance can make a meaningful difference in people’s lives  advancing prosperity for all Americans  https   t co fcKQ7kXQuR,2020-12-10 18:00:00,
349,en,JoeBiden,939091,True,1337041882879127552,"As the United States works to advance human rights around the world, we must also recognize that our task begins here at home. My administration is committed to ensuring every person is free to flourish in a society that values and defends equal justice for all. #HumanRightsDay",[],['HumanRightsDay'],[],[],USA,As the United States works to advance human rights around the world  we must also recognize that our task begins here at home  My administration is committed to ensuring every person is free to flourish in a society that values and defends equal justice for all   HumanRightsDay,2020-12-10 15:00:00,
350,en,JoeBiden,939091,True,1336853141418110983,"I have worked closely with Secretary-designate Lloyd Austin. He is the definition of duty, honor, and country. I know that under his leadership, the Department of Defense will advance the security of the American people in ways that always honor our highest values and ideals. https://t.co/OSU6b9Ip0c",[],[],[],[],USA,I have worked closely with Secretary designate Lloyd Austin  He is the definition of duty  honor  and country  I know that under his leadership  the Department of Defense will advance the security of the American people in ways that always honor our highest values and ideals  https   t co OSU6b9Ip0c,2020-12-10 02:00:00,
351,en,JoeBiden,939091,True,1336831747120656384,"Secretary-designate Lloyd Austin is feared by our adversaries, respected by our allies, and beloved by the men and women of America’s armed forces.

I am honored to nominate him as the 28th Secretary of Defense. https://t.co/BvFxHXH4v9",[],[],[],[],USA,Secretary designate Lloyd Austin is feared by our adversaries  respected by our allies  and beloved by the men and women of America’s armed forces I am honored to nominate him as the 28th Secretary of Defense  https   t co BvFxHXH4v9,2020-12-10 01:00:00,
352,en,JoeBiden,939091,True,1336770593987899394,"This pandemic is one of the toughest challenges America has ever faced.

But I know that together we will overcome — and heal — as one nation. https://t.co/S8OeP7HJVH",[],[],[],[],USA,This pandemic is one of the toughest challenges America has ever faced But I know that together we will overcome — and heal — as one nation  https   t co S8OeP7HJVH,2020-12-09 21:00:00,
353,en,JoeBiden,939091,True,1336742970435891200,"Throughout his lifetime of dedicated service, General Austin has demonstrated exemplary leadership, character, and command. Tune in as I introduce my nominee for Secretary of Defense. https://t.co/cyy5nhtp3b",[],[],[],['https://t.co/cyy5nhtp3b'],USA,Throughout his lifetime of dedicated service  General Austin has demonstrated exemplary leadership  character  and command  Tune in as I introduce my nominee for Secretary of Defense  https   t co cyy5nhtp3b,2020-12-09 19:00:00,
354,en,JoeBiden,939091,True,1336732845402857473,"This health team is made up of world-class experts at the top of their fields who are ready on day one to get the pandemic under control so we can get back to work, back to our lives, and back to our loved ones. https://t.co/acwVxRQS6x",['xp'],[],[],[],USA,This health team is made up of world class eerts at the top of their fields who are ready on day one to get the pandemic under control so we can get back to work  back to our lives  and back to our loved ones  https   t co acwVxRQS6x,2020-12-09 18:00:00,
355,en,JoeBiden,939091,True,1336686791760502785,"On day one, I’ll sign an executive order to require masks everywhere I can. https://t.co/ixUbTwHhPk",[],[],[],[],USA,On day one  I’ll sign an executive order to require masks everywhere I can  https   t co ixUbTwHhPk,2020-12-09 15:00:00,
356,en,JoeBiden,939091,True,1336495783038701568,"Out of our collective pain, we will find our collective purpose: to control the pandemic, to save lives, and to heal as a nation.",[],[],[],[],USA,Out of our collective pain  we will find our collective purpose  to control the pandemic  to save lives  and to heal as a nation ,2020-12-09 02:00:00,
357,en,JoeBiden,939091,True,1336480683561140224,"Dr. Fauci is trusted, a truth teller, and a patriot. I’m grateful he’ll be a key member of my COVID team as we work to get this virus under control. https://t.co/kFpeuNbXbc",[],[],[],[],USA,Dr  Fauci is trusted  a truth teller  and a patriot  I’m grateful he’ll be a key member of my COVID team as we work to get this virus under control  https   t co kFpeuNbXbc,2020-12-09 01:00:00,
358,en,JoeBiden,939091,True,1336456776162529280,"Today, I'm announcing key COVID-19 priorities for the first 100 days of my administration:

- Everyone wears a mask
- 100 million vaccinations
- Reopen the majority of schools

With these steps, we can change the course of the disease and change life in America for the better.",[],[],[],[],USA,Today  I m announcing key COVID 19 priorities for the first 100 days of my administration   Everyone wears a mask  100 million vaccinations  Reopen the majority of schoolsWith these steps  we can change the course of the disease and change life in America for the better ,2020-12-09 00:00:00,
359,en,JoeBiden,939091,True,1336427835339272203,"I know General Austin. I trust him. Because I know how he reacts under pressure.

When ISIS emerged as a terrorist threat, President Obama and I turned to General Austin in the Situation Room and he led us through.

Now, I turn to him again as Secretary of Defense. https://t.co/p65aVc4Nt5",[],[],[],[],USA,I know General Austin  I trust him  Because I know how he reacts under pressure When ISIS emerged as a terrorist threat  President Obama and I turned to General Austin in the Situation Room and he led us through Now  I turn to him again as Secretary of Defense  https   t co p65aVc4Nt5,2020-12-08 22:00:00,
360,en,JoeBiden,939091,True,1336413742792323077,"In the many hours we've spent together in the Situation Room and with our troops—I've witnessed General Austin's character. 

He shares my belief that we are strongest when we lead not only by the example of our power, but by the power of our example. https://t.co/7TB9X12sjL",[],[],[],['https://t.co/7TB9X12sjL'],USA,In the many hours we ve spent together in the Situation Room and with our troops—I ve witnessed General Austin s character  He shares my belief that we are strongest when we lead not only by the example of our power  but by the power of our example  https   t co 7TB9X12sjL,2020-12-08 21:00:00,
361,en,JoeBiden,939091,True,1336383784128708609,"I need a team that’s ready on day one to contain the pandemic and ensure everyone has access to quality, affordable health care. This is that team. Tune in as I introduce them for the first time. https://t.co/FhbbTa7xEo",[],[],[],['https://t.co/FhbbTa7xEo'],USA,I need a team that’s ready on day one to contain the pandemic and ensure everyone has access to quality  affordable health care  This is that team  Tune in as I introduce them for the first time  https   t co FhbbTa7xEo,2020-12-08 19:00:00,
362,en,JoeBiden,939091,True,1336352841338851356,"Chuck Yeager redefined the possible. Where others saw limits, he saw opportunity and never stopped pushing the boundaries of flight. Above all, he was a patriot who dedicated his life to serving our nation. Jill and I are keeping his loved ones in our prayers. https://t.co/2KNzPGxllD",[],[],[],['https://t.co/2KNzPGxllD'],USA,Chuck Yeager redefined the possible  Where others saw limits  he saw opportunity and never stopped pushing the boundaries of flight  Above all  he was a patriot who dedicated his life to serving our nation  Jill and I are keeping his loved ones in our prayers  https   t co 2KNzPGxllD,2020-12-08 17:00:00,
363,en,JoeBiden,939091,True,1336308549262200832,"There has never been anyone more qualified to be Treasury Secretary than Janet Yellen. Period.

I trust her knowledge and look forward to working with her to build our economy back better. https://t.co/M7E31FPimX",[],[],[],['https://t.co/M7E31FPimX'],USA,There has never been anyone more qualified to be Treasury Secretary than Janet Yellen  Period I trust her knowledge and look forward to working with her to build our economy back better  https   t co M7E31FPimX,2020-12-08 14:00:00,
364,en,JoeBiden,939091,True,1336128110203449345,"Paul Sarbanes and I served together on the Foreign Relations Committee for 30 years. There was no one sharper, more committed, or with firmer principles. And he, too, returned to his family nearly every night. They meant the world to him.

Rest In Peace, Paul. https://t.co/tzekdNb74b",[],[],[],['https://t.co/tzekdNb74b'],USA,Paul Sarbanes and I served together on the Foreign Relations Committee for 30 years  There was no one sharper  more committed  or with firmer principles  And he  too  returned to his family nearly every night  They meant the world to him Rest In Peace  Paul  https   t co tzekdNb74b,2020-12-08 02:00:00,
365,en,JoeBiden,939091,True,1336054123163234304,"Today, we remember those we lost at Pearl Harbor 79 years ago — and we salute those who answered duty’s call with strength and courage. Our nation owes an incredible debt to those who have served and must ensure they and their families receive the care they’ve earned.",[],[],[],[],USA,Today  we remember those we lost at Pearl Harbor 79 years ago — and we salute those who answered duty’s call with strength and courage  Our nation owes an incredible debt to those who have served and must ensure they and their families receive the care they’ve earned ,2020-12-07 21:00:00,
366,en,JoeBiden,939091,True,1336003791183818753,"Dr. Fauci isn't just one of our foremost experts on combating viruses—he is a good man and a tireless public servant. He has served six presidents and led us through some of our toughest challenges.

Our administration, and our country, will be stronger because of his guidance.",['xp'],[],[],[],USA,Dr  Fauci isn t just one of our foremost eerts on combating viruses—he is a good man and a tireless public servant  He has served six presidents and led us through some of our toughest challenges Our administration  and our country  will be stronger because of his guidance ,2020-12-07 18:00:00,
367,en,JoeBiden,939091,True,1335989451584118790,"Georgia — Today is your last day to register to vote in the January runoff. 

Head to https://t.co/RIJ1L4juwB to get registered, and let’s flip the Senate.",[],[],[],['https://t.co/RIJ1L4juwB'],USA,Georgia — Today is your last day to register to vote in the January runoff  Head to https   t co RIJ1L4juwB to get registered  and let’s flip the Senate ,2020-12-07 17:00:00,
