,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
2621,en,False,1440958100937195520,@LesStonehouse Look at vaxx rorts. Laura Tingle has released data. Truckloads of pfizer to NSW while Vic being seriously deprived of supplies.,[],[],['LesStonehouse'],[],USA, LesStonehouse Look at vaxx rorts  Laura Tingle has released data  Truckloads of pfizer to NSW while Vic being seriously deprived of supplies ,2021-09-23 09:00:00
2622,en,False,1440958092875866114,"@HandinaZ @daddyhope Same, what gives you the idea that they got AZ or Pfizer or Moderna?? 🤷🏿‍♂️ fact is all vaccines have unknown factors in the UK they are talking about booster vaccines for the winter so their exclusion  of Africa is racist because we didn’t use their vaccines",['🤷🏿\u200d♂️'],[],"['HandinaZ', 'daddyhope']",[],USA, HandinaZ  daddyhope Same  what gives you the idea that they got AZ or Pfizer or Moderna    fact is all vaccines have unknown factors in the UK they are talking about booster vaccines for the winter so their exclusion  of Africa is racist because we didn’t use their vaccines,2021-09-23 09:00:00
2623,en,False,1440958056595005446,@VVent2Space me when i got the pfizer,[],[],['VVent2Space'],[],USA, VVent2Space me when i got the pfizer,2021-09-23 09:00:00
2624,en,False,1440958009350541313,FDA authorizes Pfizer-BioNTech coronavirus vaccine booster for older Americans and those at high risk of illness  https://t.co/LvvlNPUDnD,[],[],[],['https://t.co/LvvlNPUDnD'],USA,FDA authorizes Pfizer BioNTech coronavirus vaccine booster for older Americans and those at high risk of illness  https   t co LvvlNPUDnD,2021-09-23 09:00:00
2625,en,False,1440958007110737920,"Moderna edges out Pfizer-BioNTech and J&amp;J in CDC study of COVID-19 vaccine efficacy
https://t.co/7MeJIkwGPK

Shared from Epocrates, The #1 medical reference app. https://t.co/6B3jbzYYWk https://t.co/d37srT9rST",[],[],[],"['https://t.co/7MeJIkwGPK', 'https://t.co/6B3jbzYYWk']",USA,Moderna edges out Pfizer BioNTech and J amp J in CDC study of COVID 19 vaccine efficacyhttps   t co 7MeJIkwGPKShared from Epocrates  The  1 medical reference app  https   t co 6B3jbzYYWk https   t co d37srT9rST,2021-09-23 09:00:00
2626,en,False,1440957978727780352,@rachelbaxendale What is the story today with supply issue of Pfizer vaccines to Victoria?,[],[],['rachelbaxendale'],[],USA, rachelbaxendale What is the story today with supply issue of Pfizer vaccines to Victoria ,2021-09-23 09:00:00
2627,en,False,1440957952404254725,@EwaMazierska @elainecoulson58 Better short your Pfizer shares.,[],[],"['EwaMazierska', 'elainecoulson58']",[],USA, EwaMazierska  elainecoulson58 Better short your Pfizer shares ,2021-09-23 09:00:00
2628,en,False,1440957942409224192,&lt;&lt;&lt; this girl is on pfizer 👀,['👀'],[],[],[],USA, lt  lt  lt  this girl is on pfizer ,2021-09-23 09:00:00
2629,en,False,1440957935446740996,Australia’s supply of Pfizer Covid vaccine may face disruption in October https://t.co/CEQMidvy4E,[],[],[],['https://t.co/CEQMidvy4E'],USA,Australia’s supply of Pfizer Covid vaccine may face disruption in October https   t co CEQMidvy4E,2021-09-23 09:00:00
2630,en,False,1440957880052690945,@reelwithnusrat Was forced to take Pfizer...woke up groggy....couldnt get a second dose....took Johnson was down for 5 days....I'm going to be the Superzomb.,[],[],['reelwithnusrat'],[],USA, reelwithnusrat Was forced to take Pfizer   woke up groggy    couldnt get a second dose    took Johnson was down for 5 days    I m going to be the Superzomb ,2021-09-23 09:00:00
