,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
0,es,SSalud_mx,132225222,True,1440526267917512705,"En México, la vacuna contra #COVID19 es universal y voluntaria. 

¡Cuidémonos entre todas y todos! #Vacúnate y no bajes la guardia.

Más información en ➡️ https://t.co/8eu3lX8QXh

#MeCuido #PorAmorALaVida https://t.co/BvrYKEHnGw",['➡️'],"['COVID19', 'Vacúnate', 'MeCuido', 'PorAmorALaVida']",[],['https://t.co/8eu3lX8QXh'],Mexico,En México  la vacuna contra  COVID19 es universal y voluntaria  ¡Cuidémonos entre todas y todos   Vacúnate y no bajes la guardia Más información en  https   t co 8eu3lX8QXh MeCuido  PorAmorALaVida https   t co BvrYKEHnGw,2021-09-22 04:00:00
1,es,SSalud_mx,132225222,True,1440511173506568192,"21 de septiembre | Día Mundial del #Alzheimer

El inicio de la enfermedad no puede detenerse o revertirse, pero el diagnóstico temprano permite tener mejores posibilidades de beneficiarse del tratamiento.

Conoce más en ➡️ https://t.co/CyaHB8TEyG

#MeCuido #PorAmorALaVida https://t.co/Rv8JlZBlED",['➡️'],"['Alzheimer', 'MeCuido', 'PorAmorALaVida']",[],['https://t.co/CyaHB8TEyG'],Mexico,21 de septiembre   Día Mundial del  AlzheimerEl inicio de la enfermedad no puede detenerse o revertirse  pero el diagnóstico temprano permite tener mejores posibilidades de beneficiarse del tratamiento Conoce más en  https   t co CyaHB8TEyG MeCuido  PorAmorALaVida https   t co Rv8JlZBlED,2021-09-22 03:00:00
2,es,SSalud_mx,132225222,True,1440503618143092740,"#MeCuidoPorAmor a mis compañeras y compañeros de trabajo.

Refuerza las medidas de higiene y evita contagios de COVID-19.

✅ #SuSanaDistancia
✅ #LavadoDeManos frecuente
✅ #UsoDeCubrebocas

Infórmate en ➡️ https://t.co/8eu3lWRfyH https://t.co/xXzNkIYrTW","['✅', '➡️']","['MeCuidoPorAmor', 'SuSanaDistancia', 'LavadoDeManos', 'UsoDeCubrebocas']",[],['https://t.co/8eu3lWRfyH'],Mexico, MeCuidoPorAmor a mis compañeras y compañeros de trabajo Refuerza las medidas de higiene y evita contagios de COVID 19   SuSanaDistancia  LavadoDeManos frecuente  UsoDeCubrebocasInfórmate en  https   t co 8eu3lWRfyH https   t co xXzNkIYrTW,2021-09-22 03:00:00
3,es,SSalud_mx,132225222,True,1440496072296595461,"Semana para la #PrevenciónDelEmbarazo en Adolescentes en América Latina

Tener relaciones sexuales sin protección implica el riesgo de adquirir una infección de transmisión sexual.

Visita ➡️ https://t.co/fkdFm2xdQO

#MeCuido #PorAmorALaVida https://t.co/KlgjAQSB93",['➡️'],"['PrevenciónDelEmbarazo', 'MeCuido', 'PorAmorALaVida']",[],['https://t.co/fkdFm2xdQO'],Mexico,Semana para la  PrevenciónDelEmbarazo en Adolescentes en América LatinaTener relaciones sexuales sin protección implica el riesgo de adquirir una infección de transmisión sexual Visita  https   t co fkdFm2xdQO MeCuido  PorAmorALaVida https   t co KlgjAQSB93,2021-09-22 02:00:00
4,es,SSalud_mx,132225222,True,1440493484239048710,"#ComunicadoSalud 

A la fecha, más de 96 millones de dosis contra #COVID19 aplicadas en México

➡️ https://t.co/VxPW5WacZM https://t.co/FTXHhCyMhc",['➡️'],"['ComunicadoSalud', 'COVID19']",[],['https://t.co/VxPW5WacZM'],Mexico, ComunicadoSalud A la fecha  más de 96 millones de dosis contra  COVID19 aplicadas en México https   t co VxPW5WacZM https   t co FTXHhCyMhc,2021-09-22 02:00:00
5,es,SSalud_mx,132225222,True,1440480969375449107,"21 de septiembre | Día Mundial del #Alzheimer

Es una enfermedad progresiva y degenerativa que deteriora la memoria y la conducta.

Conoce más en ➡️ https://t.co/CyaHB8C3a6

#MeCuido #PorAmorALaVida https://t.co/2ehI64ygBj",['➡️'],"['Alzheimer', 'MeCuido', 'PorAmorALaVida']",[],['https://t.co/CyaHB8C3a6'],Mexico,21 de septiembre   Día Mundial del  AlzheimerEs una enfermedad progresiva y degenerativa que deteriora la memoria y la conducta Conoce más en  https   t co CyaHB8C3a6 MeCuido  PorAmorALaVida https   t co 2ehI64ygBj,2021-09-22 01:00:00
6,es,SSalud_mx,132225222,True,1440473418101448705,"⚠️ ATENCIÓN ⚠️ 

Las imágenes que circulan en redes sociales con supuestos reactivos del #ENARM2021 son absolutamente FALSAS. 

Evita ser víctima de fraude. Te invitamos a infórmate por los canales oficiales. 

#MeCuido #PorAmorALaVida https://t.co/tq3HzjZ087",['⚠️'],"['ENARM2021', 'MeCuido', 'PorAmorALaVida']",[],[],Mexico, ATENCIÓN  Las imágenes que circulan en redes sociales con supuestos reactivos del  ENARM2021 son absolutamente FALSAS  Evita ser víctima de fraude  Te invitamos a infórmate por los canales oficiales   MeCuido  PorAmorALaVida https   t co tq3HzjZ087,2021-09-22 01:00:00
7,es,SSalud_mx,132225222,True,1440465870841647105,"¡La #Vacunación contra #COVID19 continúa! 

¿Tienes 18 años o más? Regístrate en ➡️ https://t.co/6LKEEGRUeF

Mantén las medidas de higiene.

#UsoDeCubrebocas #LavadoDeManos

#MeCuido #PorAmorALaVida https://t.co/r1UNew3AdR",['➡️'],"['Vacunación', 'COVID19', 'UsoDeCubrebocas', 'LavadoDeManos', 'MeCuido', 'PorAmorALaVida']",[],['https://t.co/6LKEEGRUeF'],Mexico,¡La  Vacunación contra  COVID19 continúa  ¿Tienes 18 años o más  Regístrate en  https   t co 6LKEEGRUeFMantén las medidas de higiene  UsoDeCubrebocas  LavadoDeManos MeCuido  PorAmorALaVida https   t co r1UNew3AdR,2021-09-22 00:00:00
8,es,SSalud_mx,132225222,True,1440450771561050130,"21 de septiembre | Día Mundial del #Alzheimer

Es una enfermedad progresiva y degenerativa que deteriora la memoria y la conducta.

Conoce más en ➡️ https://t.co/CyaHB8C3a6

#MeCuido #PorAmorALaVida https://t.co/8PBua44TLO",['➡️'],"['Alzheimer', 'MeCuido', 'PorAmorALaVida']",[],['https://t.co/CyaHB8C3a6'],Mexico,21 de septiembre   Día Mundial del  AlzheimerEs una enfermedad progresiva y degenerativa que deteriora la memoria y la conducta Conoce más en  https   t co CyaHB8C3a6 MeCuido  PorAmorALaVida https   t co 8PBua44TLO,2021-09-21 23:00:00
9,es,SSalud_mx,132225222,True,1440449944561729546,"Comunicado Técnico Diario: Nuevo Coronavirus en el Mundo #COVID19 | 21 de septiembre de 2021

➡️ https://t.co/BGUFytl6P2 https://t.co/sU1kbGK13I",['➡️'],['COVID19'],[],['https://t.co/BGUFytl6P2'],Mexico,Comunicado Técnico Diario  Nuevo Coronavirus en el Mundo  COVID19   21 de septiembre de 2021 https   t co BGUFytl6P2 https   t co sU1kbGK13I,2021-09-21 23:00:00
