,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
0,es,False,1440745252743118849,"Bolsonaro cumprirá quarentena determinada pela Anvisa

https://t.co/XS9xvCIZsw

#D24AM #InteragindoComANotícia #Credibilidade #Manaus #Amazonas",[],"['D24AM', 'InteragindoComANotícia', 'Credibilidade', 'Manaus', 'Amazonas']",[],['https://t.co/XS9xvCIZsw'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisahttps   t co XS9xvCIZsw D24AM  InteragindoComANotícia  Credibilidade  Manaus  Amazonas,2021-09-22 19:00:00
1,es,False,1440745249073106954,"Bolsonaro cumprirá quarentena determinada pela Anvisa

https://t.co/h72ogOOfFV

#D24AM #InteragindoComANotícia #Credibilidade #Manaus #Amazonas",[],"['D24AM', 'InteragindoComANotícia', 'Credibilidade', 'Manaus', 'Amazonas']",[],['https://t.co/h72ogOOfFV'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisahttps   t co h72ogOOfFV D24AM  InteragindoComANotícia  Credibilidade  Manaus  Amazonas,2021-09-22 19:00:00
2,es,False,1440745184610832386,"Bolsonaro cumprirá quarentena determinada pela Anvisa
https://t.co/dadb7C9avQ",[],[],[],['https://t.co/dadb7C9avQ'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisahttps   t co dadb7C9avQ,2021-09-22 18:00:00
3,es,False,1440742531973607430,Bolsonaro cumprirá quarentena determinada pela Anvisa https://t.co/lqjFVuh4ap,[],[],[],['https://t.co/lqjFVuh4ap'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisa https   t co lqjFVuh4ap,2021-09-22 18:00:00
4,es,False,1440740047901245443,@laderechadiario Entretanto... https://t.co/VqhOuZRzCV,[],[],['laderechadiario'],['https://t.co/VqhOuZRzCV'],Mexico, laderechadiario Entretanto    https   t co VqhOuZRzCV,2021-09-22 18:00:00
5,es,False,1440739184445067266,@CludiaTanaka2 @RuanSadock @katiavianachaga @jguedes_s @_claudia2020 @macunaimaz21 @lobaoeletrico @fernanddofragg1 @Ricamconsult @Luna_quarentena Ele era sensacional...,[],[],"['CludiaTanaka2', 'RuanSadock', 'katiavianachaga', 'jguedes_s', '_claudia2020', 'macunaimaz21', 'lobaoeletrico', 'fernanddofragg1', 'Ricamconsult', 'Luna_quarentena']",[],Mexico, CludiaTanaka2  RuanSadock  katiavianachaga  jguedes s   claudia2020  macunaimaz21  lobaoeletrico  fernanddofragg1  Ricamconsult  Luna quarentena Ele era sensacional   ,2021-09-22 18:00:00
6,es,False,1440737657303175187,@Luna_quarentena @marejoy @TassianaFiguei3 @NcMarli @FlvioMartinsds3 @AlerquinaHarley @ConsaBurgos @anacwb76 @caragualucia @_claudia2020 Patriota 🤣🤣🤣🤣🤣🤣🤣,['🤣'],[],"['Luna_quarentena', 'marejoy', 'TassianaFiguei3', 'NcMarli', 'FlvioMartinsds3', 'AlerquinaHarley', 'ConsaBurgos', 'anacwb76', 'caragualucia', '_claudia2020']",[],Mexico, Luna quarentena  marejoy  TassianaFiguei3  NcMarli  FlvioMartinsds3  AlerquinaHarley  ConsaBurgos  anacwb76  caragualucia   claudia2020 Patriota ,2021-09-22 18:00:00
7,es,False,1440729381672943622,@marejoy @madrilima @MsBraun7 @ingrid_maria_57 @DINAHMRIB1 @SaudadesFilha @AcoLyonel @AlerquinaHarley @TassianaFiguei3 @Luna_quarentena @verajazz Imagina? https://t.co/24JVs9RvrC,[],[],"['marejoy', 'madrilima', 'MsBraun7', 'ingrid_maria_57', 'DINAHMRIB1', 'SaudadesFilha', 'AcoLyonel', 'AlerquinaHarley', 'TassianaFiguei3', 'Luna_quarentena', 'verajazz']",[],Mexico, marejoy  madrilima  MsBraun7  ingrid maria 57  DINAHMRIB1  SaudadesFilha  AcoLyonel  AlerquinaHarley  TassianaFiguei3  Luna quarentena  verajazz Imagina  https   t co 24JVs9RvrC,2021-09-22 17:00:00
8,es,False,1440728885205733382,@ulissesneto Tu loves quarentena 😁😀,"['😀', '😁']",[],['ulissesneto'],[],Mexico, ulissesneto Tu loves quarentena ,2021-09-22 17:00:00
9,es,False,1440721962083360779,Bolsonaro cumprirá quarentena determinada pela Anvisa https://t.co/cWM7SQWpkp via @agoranoticiasbr,[],[],['agoranoticiasbr'],['https://t.co/cWM7SQWpkp'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisa https   t co cWM7SQWpkp via  agoranoticiasbr,2021-09-22 17:00:00
10,es,False,1440721920995966978,Bolsonaro cumprirá quarentena determinada pela Anvisa https://t.co/lZ7jNY5NeU via @agoranoticiasbr,[],[],['agoranoticiasbr'],['https://t.co/lZ7jNY5NeU'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisa https   t co lZ7jNY5NeU via  agoranoticiasbr,2021-09-22 17:00:00
11,es,False,1440721879073898496,Bolsonaro cumprirá quarentena determinada pela Anvisa https://t.co/eY5CLF1kb6 via @agoranoticiasbr,[],[],['agoranoticiasbr'],['https://t.co/eY5CLF1kb6'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisa https   t co eY5CLF1kb6 via  agoranoticiasbr,2021-09-22 17:00:00
12,es,False,1440721819602804745,Bolsonaro cumprirá quarentena determinada pela Anvisa https://t.co/SD0wXg9FYU via @agoranoticiasbr,[],[],['agoranoticiasbr'],['https://t.co/SD0wXg9FYU'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisa https   t co SD0wXg9FYU via  agoranoticiasbr,2021-09-22 17:00:00
13,es,False,1440721769489322000,Bolsonaro cumprirá quarentena determinada pela Anvisa https://t.co/IUibRGeS90 via @agoranoticiasbr,[],[],['agoranoticiasbr'],['https://t.co/IUibRGeS90'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisa https   t co IUibRGeS90 via  agoranoticiasbr,2021-09-22 17:00:00
14,es,True,1440716806075731968,Bolsonaro cumprirá quarentena determinada pela Anvisa - Prisma - R7 Christina Lemos https://t.co/3lNsWifb0f,[],[],[],['https://t.co/3lNsWifb0f'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisa   Prisma   R7 Christina Lemos https   t co 3lNsWifb0f,2021-09-22 17:00:00
15,es,False,1440713111963504642,"Com apenas 16 anos, adolescente fotografa trabalhadores durante a quarentena - GQ | Noticias https://t.co/VhOPYBLMs7",[],[],[],['https://t.co/VhOPYBLMs7'],Mexico,Com apenas 16 anos  adolescente fotografa trabalhadores durante a quarentena   GQ   Noticias https   t co VhOPYBLMs7,2021-09-22 16:00:00
16,es,True,1440712323245613070,"Bolsonaro cumprirá quarentena determinada pela Anvisa

https://t.co/YPZlHgfMeC https://t.co/NjLdYxItpz",[],[],[],['https://t.co/YPZlHgfMeC'],Mexico,Bolsonaro cumprirá quarentena determinada pela Anvisahttps   t co YPZlHgfMeC https   t co NjLdYxItpz,2021-09-22 16:00:00
17,es,False,1440710835538518024,@marejoy @MsBraun7 @CludiaTanaka2 @ingrid_maria_57 @DINAHMRIB1 @SaudadesFilha @AcoLyonel @AlerquinaHarley @TassianaFiguei3 @Luna_quarentena @verajazz Time TRETA,[],[],"['marejoy', 'MsBraun7', 'CludiaTanaka2', 'ingrid_maria_57', 'DINAHMRIB1', 'SaudadesFilha', 'AcoLyonel', 'AlerquinaHarley', 'TassianaFiguei3', 'Luna_quarentena', 'verajazz']",[],Mexico, marejoy  MsBraun7  CludiaTanaka2  ingrid maria 57  DINAHMRIB1  SaudadesFilha  AcoLyonel  AlerquinaHarley  TassianaFiguei3  Luna quarentena  verajazz Time TRETA,2021-09-22 16:00:00
18,es,False,1440706915256864770,"Porque Bolsonaro poderá ser preso :
https://t.co/tkm7XpguAs",[],[],[],['https://t.co/tkm7XpguAs'],Mexico,Porque Bolsonaro poderá ser preso  https   t co tkm7XpguAs,2021-09-22 16:00:00
19,es,False,1440692862669115400,"vibes d quan posaven el cumpleaños feliz en quarentena, recuerdos se vietnam https://t.co/YnUPKZujq8",[],[],[],['https://t.co/YnUPKZujq8'],Mexico,vibes d quan posaven el cumpleaños feliz en quarentena  recuerdos se vietnam https   t co YnUPKZujq8,2021-09-22 15:00:00
20,es,False,1440652390776991748,"Anvisa pede quarentena para comitiva de Bolsonaro
https://t.co/J5IekZINfG https://t.co/d71KbWYq9v",[],[],[],['https://t.co/J5IekZINfG'],Mexico,Anvisa pede quarentena para comitiva de Bolsonarohttps   t co J5IekZINfG https   t co d71KbWYq9v,2021-09-22 12:00:00
21,es,False,1440624823818809358,"en Alemania 🇩🇪 la gente que no se quiere vacunar tendrá que pagar las pruebas para el virus y, si le toca hacer quarentena, le descontarán los días del sueldo",['🇩🇪'],[],[],[],Mexico,en Alemania  la gente que no se quiere vacunar tendrá que pagar las pruebas para el virus y  si le toca hacer quarentena  le descontarán los días del sueldo,2021-09-22 11:00:00
22,es,False,1440557034936565767,"El fotógrafo Antonio Girbés nos presentó su nueva publicación: 'Quarentena', un fotolibro del que parte de sus beneficios se destinarán al programa @NCCancer, de @ClinicaNavarra, ¿te gustaría saber más de este libro?
#SPENDINmagazine
#LaEsenciaDeLoEsencia https://t.co/g3lGRzZsrl",[],"['SPENDINmagazine', 'LaEsenciaDeLoEsencia']","['NCCancer', 'ClinicaNavarra']",['https://t.co/g3lGRzZsrl'],Mexico,El fotógrafo Antonio Girbés nos presentó su nueva publicación   Quarentena   un fotolibro del que parte de sus beneficios se destinarán al programa  NCCancer  de  ClinicaNavarra  ¿te gustaría saber más de este libro  SPENDINmagazine LaEsenciaDeLoEsencia https   t co g3lGRzZsrl,2021-09-22 06:00:00
23,es,False,1440535486800404483,"El fotógrafo Antonio Girbés nos presentó su nueva publicación: 'Quarentena', un fotolibro del que parte de sus beneficios se destinarán al programa @NCCancer, de @ClinicaNavarra, ¿te gustaría saber más de este libro?
#SPENDINmagazine
#LaEsenciaDeLoEsencial
https://t.co/lJyPsH8lG9",[],"['SPENDINmagazine', 'LaEsenciaDeLoEsencial']","['NCCancer', 'ClinicaNavarra']",['https://t.co/lJyPsH8lG9'],Mexico,El fotógrafo Antonio Girbés nos presentó su nueva publicación   Quarentena   un fotolibro del que parte de sus beneficios se destinarán al programa  NCCancer  de  ClinicaNavarra  ¿te gustaría saber más de este libro  SPENDINmagazine LaEsenciaDeLoEsencialhttps   t co lJyPsH8lG9,2021-09-22 05:00:00
