,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
584,en,POTUS,1349149096909668363,True,1404581923901607939,Couldn’t imagine a better partner for this journey. https://t.co/cQpeynZdgq,[],[],[],[],USA,Couldn’t imagine a better partner for this journey  https   t co cQpeynZdgq,2021-06-15 00:00:00
585,en,POTUS,1349149096909668363,True,1404566986667999234,Jill and I want to wish everyone a happy Pride! To the LGBTQ+ community: know we are proud to stand with you this month and every month. https://t.co/JE6yFUDU86,[],[],[],[],USA,Jill and I want to wish everyone a happy Pride  To the LGBTQ  community  know we are proud to stand with you this month and every month  https   t co JE6yFUDU86,2021-06-14 23:00:00
586,en,POTUS,1349149096909668363,True,1404552943643381760,What an incredible afternoon at Windsor Castle. https://t.co/Jp746mgV2b,[],[],[],[],USA,What an incredible afternoon at Windsor Castle  https   t co Jp746mgV2b,2021-06-14 22:00:00
587,en,POTUS,1349149096909668363,True,1404531446744858624,"The Transatlantic Alliance is the strong foundation on which our collective security and our shared prosperity are built. It’s an honor to be at NATO HQ today, reaffirming America’s commitment to our 29 Allies and our vision for a more secure future. https://t.co/vUJIszZAvT",[],[],[],[],USA,The Transatlantic Alliance is the strong foundation on which our collective security and our shared prosperity are built  It’s an honor to be at NATO HQ today  reaffirming America’s commitment to our 29 Allies and our vision for a more secure future  https   t co vUJIszZAvT,2021-06-14 20:00:00
588,en,POTUS,1349149096909668363,True,1404521441761112064,"Tune in as I hold a press conference from NATO Headquarters in Brussels, Belgium. https://t.co/u8DQW3zwSF",['8D'],[],[],['https://t.co/u8DQW3zwSF'],USA,Tune in as I hold a press conference from NATO Headquarters in Brussels  Belgium  https   t co uQW3zwSF,2021-06-14 19:00:00
589,en,POTUS,1349149096909668363,True,1404431080569049094,"Our NATO Alliance is stronger than ever. Today I’m joining our 29 allies to discuss our collective defense — including from Russian aggression, strategic challenges from China, malicious cyber activity, terrorism, and climate change.",[],[],[],[],USA,Our NATO Alliance is stronger than ever  Today I’m joining our 29 allies to discuss our collective defense — including from Russian aggression  strategic challenges from China  malicious cyber activity  terrorism  and climate change ,2021-06-14 14:00:00
590,en,POTUS,1349149096909668363,True,1404424026185949185,We’re working to tackle this century’s most pressing challenges – together. https://t.co/DJYSnh4jUd,[],[],[],[],USA,We’re working to tackle this century’s most pressing challenges – together  https   t co DJYSnh4jUd,2021-06-14 13:00:00
591,en,POTUS,1349149096909668363,True,1404185229741408260,Honored to have met Her Majesty The Queen at Windsor Castle this afternoon. https://t.co/6GnDMpmQ7w,[],[],[],[],USA,Honored to have met Her Majesty The Queen at Windsor Castle this afternoon  https   t co 6GnDMpmQ7w,2021-06-13 21:00:00
592,en,POTUS,1349149096909668363,True,1403775106913034242,I had a great meeting with German Chancellor Angela Merkel today. The ties between our two nations are stronger than ever — and I’m excited to welcome her to the White House next month to continue our work. https://t.co/QJtOQiIKcf,[],[],[],[],USA,I had a great meeting with German Chancellor Angela Merkel today  The ties between our two nations are stronger than ever — and I’m excited to welcome her to the White House next month to continue our work  https   t co QJtOQiIKcf,2021-06-12 18:00:00
593,en,POTUS,1349149096909668363,True,1403749724256194562,"Five years ago, we suffered the deadliest attack affecting the LGBTQ+ community in our history. Within minutes, Pulse Nightclub turned from a place of acceptance and joy to a place of unspeakable pain.

As we remember those we lost, we must recommit to honoring them with action.",[],[],[],[],USA,Five years ago  we suffered the deadliest attack affecting the LGBTQ  community in our history  Within minutes  Pulse Nightclub turned from a place of acceptance and joy to a place of unspeakable pain As we remember those we lost  we must recommit to honoring them with action ,2021-06-12 16:00:00
594,en,POTUS,1349149096909668363,True,1403714569495789568,"As the First Lady says: Any nation that out-educates us will out-compete us. That’s why we’re working to pass the American Families Plan, which makes historic investments in education. Secretary Cardona sat down with teachers to discuss how it’ll help them. https://t.co/SMjk9jk45o",[],[],[],[],USA,As the First Lady says  Any nation that out educates us will out compete us  That’s why we’re working to pass the American Families Plan  which makes historic investments in education  Secretary Cardona sat down with teachers to discuss how it’ll help them  https   t co SMjk9jk45o,2021-06-12 14:00:00
595,en,POTUS,1349149096909668363,True,1403477140264337413,"Today’s news shows that folks are feeling better about the economy. And for good reason: growth is near a 40-year high, unemployment is at its lowest level since the pandemic, and wages are on the rise.

Our economic plan is working — and we’re just getting started. https://t.co/y37uvQHzzS",[],[],[],['https://t.co/y37uvQHzzS'],USA,Today’s news shows that folks are feeling better about the economy  And for good reason  growth is near a 40 year high  unemployment is at its lowest level since the pandemic  and wages are on the rise Our economic plan is working — and we’re just getting started  https   t co y37uvQHzzS,2021-06-11 22:00:00
596,en,POTUS,1349149096909668363,True,1403454409980497927,"President Macron and I stand together, ready to take on the toughest challenges we face. https://t.co/OSnbdMLxa1",[],[],[],[],USA,President Macron and I stand together  ready to take on the toughest challenges we face  https   t co OSnbdMLxa1,2021-06-11 21:00:00
597,en,POTUS,1349149096909668363,True,1403421661001568258,Diplomacy is back. https://t.co/27D316PAqB,[],[],[],[],USA,Diplomacy is back  https   t co 27D316PAqB,2021-06-11 19:00:00
598,en,POTUS,1349149096909668363,True,1403344384435834889,Yesterday I announced that the U.S. will donate half a billion additional Pfizer vaccines to help countries in dire need in this pandemic. In this moment — our values call us to do everything that we can to vaccinate the world against COVID-19. https://t.co/T1XCTgQs1y,[],[],[],[],USA,Yesterday I announced that the U S  will donate half a billion additional Pfizer vaccines to help countries in dire need in this pandemic  In this moment — our values call us to do everything that we can to vaccinate the world against COVID 19  https   t co T1XCTgQs1y,2021-06-11 14:00:00
599,en,POTUS,1349149096909668363,True,1403322312703852551,"It’s the first official day of the G7 Summit here in the United Kingdom. I’m looking forward to reinforcing our commitment to multilateralism and working with our allies and partners to build a more fair and inclusive global economy.
 
Let’s get to work.",[],[],[],[],USA,It’s the first official day of the G7 Summit here in the United Kingdom  I’m looking forward to reinforcing our commitment to multilateralism and working with our allies and partners to build a more fair and inclusive global economy  Let’s get to work ,2021-06-11 12:00:00
600,en,POTUS,1349149096909668363,True,1403126118899662848,Our service members are the solid steel spine of America. https://t.co/DG8UYcy3IG,[],[],[],[],USA,Our service members are the solid steel spine of America  https   t co DG8UYcy3IG,2021-06-10 23:00:00
601,en,POTUS,1349149096909668363,True,1403110467967623170,"Over the next few days, I’ll be participating in meetings with many of our closest partners. This diplomacy is essential — because no single nation acting alone can meet the challenges we face today, or build the shared future we all seek. https://t.co/2kpYLH8o4X",[],[],[],[],USA,Over the next few days  I’ll be participating in meetings with many of our closest partners  This diplomacy is essential — because no single nation acting alone can meet the challenges we face today  or build the shared future we all seek  https   t co 2kpYLH8o4X,2021-06-10 22:00:00
