,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date,text_en
185,es,EPN,2897441,True,978812238529220608,"En su preparación #RumboARusia, mucho éxito a @miseleccionmx en el partido contra @HNS_CFF 🇭🇷 #SoyMéxico #VamosMéxico 🇲🇽","['🇭🇷', '🇲🇽']","['RumboARusia', 'SoyMéxico', 'VamosMéxico']","['miseleccionmx', 'HNS_CFF']",[],Mexico,En su preparación  RumboARusia  mucho éxito a  miseleccionmx en el partido contra  HNS CFF   SoyMéxico  VamosMéxico ,2018-03-28 02:00:00,
186,es,EPN,2897441,True,977366141940121600,"Hace unas semanas, el Presidente de Islandia y yo intercambiamos camisetas de nuestros equipos. Que sea un gran amistoso entre @miseleccionmx y @footballiceland. #MEXvsISL #VamosConTodo #RumboARusia https://t.co/aYem9lWaOv",[],"['MEXvsISL', 'VamosConTodo', 'RumboARusia']","['miseleccionmx', 'footballiceland']",[],Mexico,Hace unas semanas  el Presidente de Islandia y yo intercambiamos camisetas de nuestros equipos  Que sea un gran amistoso entre  miseleccionmx y  footballiceland   MEXvsISL  VamosConTodo  RumboARusia https   t co aYem9lWaOv,2018-03-24 02:00:00,
187,es,EPN,2897441,True,977290318243598342,"México reconoce la fortaleza del marco institucional del Perú que aseguró una transición con apego a la legalidad, y le desea éxito al Presidente Constitucional  @MartinVizcarraC en su administración que hoy comienza. Reitero la profunda amistad que une a mexicanos y peruanos.",[],[],['MartinVizcarraC'],[],Mexico,México reconoce la fortaleza del marco institucional del Perú que aseguró una transición con apego a la legalidad  y le desea éxito al Presidente Constitucional   MartinVizcarraC en su administración que hoy comienza  Reitero la profunda amistad que une a mexicanos y peruanos ,2018-03-23 21:00:00,
188,es,EPN,2897441,True,976991489959047168,¡Mi reconocimiento al Congreso de la Unión por hacerlo posible! @Mx_Diputados @senadomexicano #ServicioExteriorMexicano.,[],['ServicioExteriorMexicano'],"['Mx_Diputados', 'senadomexicano']",[],Mexico,¡Mi reconocimiento al Congreso de la Unión por hacerlo posible   Mx Diputados  senadomexicano  ServicioExteriorMexicano ,2018-03-23 01:00:00,
189,es,EPN,2897441,True,976991123221680128,"Gracias a su aprobación, se concreta mi compromiso de fortalecer la diplomacia mexicana con mejores condiciones de desarrollo profesional y de retiro para los miembros del #SEM.",[],['SEM'],[],[],Mexico,Gracias a su aprobación  se concreta mi compromiso de fortalecer la diplomacia mexicana con mejores condiciones de desarrollo profesional y de retiro para los miembros del  SEM ,2018-03-23 01:00:00,
190,es,EPN,2897441,True,976990976651792384,"Con la reformas a la Ley del #ServicioExteriorMexicano sus miembros tendrán mejores condiciones para ejecutar una política exterior más activa y eficaz, que defienda y haga valer los intereses de nuestro país en el exterior.",[],['ServicioExteriorMexicano'],[],[],Mexico,Con la reformas a la Ley del  ServicioExteriorMexicano sus miembros tendrán mejores condiciones para ejecutar una política exterior más activa y eficaz  que defienda y haga valer los intereses de nuestro país en el exterior ,2018-03-23 01:00:00,
191,es,EPN,2897441,True,976658635173462016,"La @ONU_es designó el 21 de marzo #DíaMundialdelSíndromedeDown, para concientizar sobre las valiosas contribuciones de las personas con discapacidad intelectual. Trabajemos para que este reconocimiento no se limite al #DMSD18, y esté vigente todos los días del año. https://t.co/KesHszgG0H",[],"['DíaMundialdelSíndromedeDown', 'DMSD18']",['ONU_es'],[],Mexico,La  ONU es designó el 21 de marzo  DíaMundialdelSíndromedeDown  para concientizar sobre las valiosas contribuciones de las personas con discapacidad intelectual  Trabajemos para que este reconocimiento no se limite al  DMSD18  y esté vigente todos los días del año  https   t co KesHszgG0H,2018-03-22 03:00:00,
192,es,EPN,2897441,True,974718441092460549,"En el 71 aniversario de su creación, expreso mi reconocimiento al personal del Cuerpo de Guardias Presidenciales, por su compromiso y lealtad en el desempeño de su trabajo diario.",['xp'],[],[],[],Mexico,En el 71 aniversario de su creación  ereso mi reconocimiento al personal del Cuerpo de Guardias Presidenciales  por su compromiso y lealtad en el desempeño de su trabajo diario ,2018-03-16 19:00:00,
193,es,EPN,2897441,True,974514213912641537,"Reconozco a la Cámara de @Mx_Diputados por su responsabilidad democrática y compromiso con las instituciones, al alcanzar los consensos necesarios para que México hoy cuente con Auditor Superior de la Federación.",[],[],['Mx_Diputados'],[],Mexico,Reconozco a la Cámara de  Mx Diputados por su responsabilidad democrática y compromiso con las instituciones  al alcanzar los consensos necesarios para que México hoy cuente con Auditor Superior de la Federación ,2018-03-16 05:00:00,
194,es,EPN,2897441,True,971954694804324352,México celebra la firma del Tratado Integral y Progresista de Asociación Transpacífico #CPTPP y refrenda su compromiso con el libre comercio y la integración económica con Asia-Pacífico.,[],['CPTPP'],[],[],Mexico,México celebra la firma del Tratado Integral y Progresista de Asociación Transpacífico  CPTPP y refrenda su compromiso con el libre comercio y la integración económica con Asia Pacífico ,2018-03-09 04:00:00,
195,es,EPN,2897441,True,971830211221377026,Mi reconocimiento a todas las mexicanas que diariamente contribuyen a que tengamos un país mejor #DíaInternacionalDeLaMujer.,[],['DíaInternacionalDeLaMujer'],[],[],Mexico,Mi reconocimiento a todas las mexicanas que diariamente contribuyen a que tengamos un país mejor  DíaInternacionalDeLaMujer ,2018-03-08 19:00:00,
196,es,EPN,2897441,True,971829722454876161,"En el #DíaInternacionalDeLaMujer, reconocemos la lucha histórica por la igualdad de derechos y oportunidades. A pesar de los avances, debemos seguir derribando obstáculos para lograr un @Mexico en el que todas y todos puedan cumplir sus anhelos.",[],['DíaInternacionalDeLaMujer'],['mexico'],[],Mexico,En el  DíaInternacionalDeLaMujer  reconocemos la lucha histórica por la igualdad de derechos y oportunidades  A pesar de los avances  debemos seguir derribando obstáculos para lograr un  Mexico en el que todas y todos puedan cumplir sus anhelos ,2018-03-08 19:00:00,
197,es,EPN,2897441,True,969362949092515840,Reconozco a los legisladores del Congreso de la Unión por aprobar la Ley para Regular las Instituciones de Tecnología Financiera. La #LeyFintech representa un avance en la modernización del sistema financiero mexicano y da certeza a un innovador segmento de nuestra economía.,[],['LeyFintech'],[],[],Mexico,Reconozco a los legisladores del Congreso de la Unión por aprobar la Ley para Regular las Instituciones de Tecnología Financiera  La  LeyFintech representa un avance en la modernización del sistema financiero mexicano y da certeza a un innovador segmento de nuestra economía ,2018-03-02 00:00:00,
198,es,EPN,2897441,True,965737899487477760,"Por su brillante historia de heroísmo, su inquebrantable lealtad institucional y, sobre todo, su permanente vocación de servicio a México, hoy reconocemos a las mujeres y hombres que integran al Ejército Mexicano y les expresamos nuestra mayor gratitud. #DíaDelEjércitoMexicano",['xp'],['DíaDelEjércitoMexicano'],[],[],Mexico,Por su brillante historia de heroísmo  su inquebrantable lealtad institucional y  sobre todo  su permanente vocación de servicio a México  hoy reconocemos a las mujeres y hombres que integran al Ejército Mexicano y les eresamos nuestra mayor gratitud   DíaDelEjércitoMexicano,2018-02-20 00:00:00,
199,es,EPN,2897441,True,965485254789160961,"Por sismo de magnitud preliminar de 6, @PcSegob activó sus protocolos y está en contacto con autoridades locales.",[],[],[],[],Mexico,Por sismo de magnitud preliminar de 6   PcSegob activó sus protocolos y está en contacto con autoridades locales ,2018-02-19 07:00:00,
200,es,EPN,2897441,True,965453269437788160,El Gobierno de la República condena el asesinato de los agentes de la @PGR_AIC que desaparecieron el 5 de febrero. Mi solidaridad con sus familiares y compañeros. La @PGR_mx trabaja para llevar ante la justicia a los responsables.,[],[],"['PGR_AIC', 'PGR_mx']",[],Mexico,El Gobierno de la República condena el asesinato de los agentes de la  PGR AIC que desaparecieron el 5 de febrero  Mi solidaridad con sus familiares y compañeros  La  PGR mx trabaja para llevar ante la justicia a los responsables ,2018-02-19 05:00:00,
201,es,EPN,2897441,True,965311325525098496,"Durante más de 5 años, he contado con el apoyo y protección del Estado Mayor Presidencial en el ejercicio de mi responsabilidad institucional con México. Mi gratitud y reconocimiento a sus integrantes. #DíaDelEstadoMayorPresidencial https://t.co/HiaHIamEFo",[],['DíaDelEstadoMayorPresidencial'],[],[],Mexico,Durante más de 5 años  he contado con el apoyo y protección del Estado Mayor Presidencial en el ejercicio de mi responsabilidad institucional con México  Mi gratitud y reconocimiento a sus integrantes   DíaDelEstadoMayorPresidencial https   t co HiaHIamEFo,2018-02-18 20:00:00,
202,es,EPN,2897441,True,964737441558020097,"Hasta el momento, el Comité Nacional de Emergencias no tiene reporte de personas fallecidas por el sismo.",[],[],[],[],Mexico,Hasta el momento  el Comité Nacional de Emergencias no tiene reporte de personas fallecidas por el sismo ,2018-02-17 06:00:00,
203,es,EPN,2897441,True,964658353652682752,"Tratándose de un sismo de más de 7 grados, por protocolo se instala el Comité Nacional de Emergencias en el Centro Nacional de Prevención de Desastres. Desde ahí @PcSegob estará informando.",[],[],[],[],Mexico,Tratándose de un sismo de más de 7 grados  por protocolo se instala el Comité Nacional de Emergencias en el Centro Nacional de Prevención de Desastres  Desde ahí  PcSegob estará informando ,2018-02-17 01:00:00,
204,es,EPN,2897441,True,964648236379029504,"Por sismo de magnitud preliminar de 7, a 8 km al Noreste de Pinotepa Nacional, Oaxaca, se han activado protocolos de @PcSegob.",[],[],[],[],Mexico,Por sismo de magnitud preliminar de 7  a 8 km al Noreste de Pinotepa Nacional  Oaxaca  se han activado protocolos de  PcSegob ,2018-02-17 00:00:00,
205,es,EPN,2897441,True,963954032179056640,"Lamento el accidente en carretera que sufrieron María de Jesús Patricio Martínez y sus acompañantes, en Baja California Sur. La @SEMAR_mx se encuentra apoyando para brindar atención médica y transporte terrestre y aéreo a los lesionados.",[],[],['SEMAR_mx'],[],Mexico,Lamento el accidente en carretera que sufrieron María de Jesús Patricio Martínez y sus acompañantes  en Baja California Sur  La  SEMAR mx se encuentra apoyando para brindar atención médica y transporte terrestre y aéreo a los lesionados ,2018-02-15 02:00:00,
206,es,EPN,2897441,True,962733229278035968,Mi mayor reconocimiento también a las mujeres mexicanas que aportan a la Ciencia y que son orgullo de todo el país #DíaInternacionaldelaMujerylaNiñaenlaCiencia,[],['DíaInternacionaldelaMujerylaNiñaenlaCiencia'],[],[],Mexico,Mi mayor reconocimiento también a las mujeres mexicanas que aportan a la Ciencia y que son orgullo de todo el país  DíaInternacionaldelaMujerylaNiñaenlaCiencia,2018-02-11 17:00:00,
207,es,EPN,2897441,True,962732695947173889,"En el #DíaInternacionaldelaMujerylaNiñaenlaCiencia, Carolina, futura experta en Bacteriología, nos comparte su experiencia en el Programa “Mujeres en STEM, Futuras Líderes”. Esta iniciativa impulsa su talento en la ciencia, la tecnología, la ingeniería y las matemáticas. https://t.co/5HphSiB2jY",['xp'],['DíaInternacionaldelaMujerylaNiñaenlaCiencia'],[],[],Mexico,En el  DíaInternacionaldelaMujerylaNiñaenlaCiencia  Carolina  futura eerta en Bacteriología  nos comparte su eeriencia en el Programa “Mujeres en STEM  Futuras Líderes”  Esta iniciativa impulsa su talento en la ciencia  la tecnología  la ingeniería y las matemáticas  https   t co 5HphSiB2jY,2018-02-11 17:00:00,
