,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
0,en,1432389940772438018,130104041, smritiirani  souindia We never forget the unity activities of all small samastanams into under one umbrella of united bharath grand salute to our iron man of india his statue is our pride by tmt d pitchai retd jao thanjavur medl college hospital  tamilnadu,1438856548558589958,False, smritiirani  souindia We never forget the unity activities of all small samastanams into under one umbrella of united bharath grand salute to our iron man of india his statue is our pride by tmt d pitchai retd jao thanjavur medl college hospital  tamilnadu,2021-09-17T13:25:08.000Z,India,@smritiirani @souindia We never forget the unity activities of all small samastanams into under one umbrella of united bharath grand salute to our iron man of india his statue is our pride by tmt d pitchai retd jao thanjavur medl college hospital  tamilnadu,[],[],"['smritiirani', 'souindia']",['https://t.co/N5XmmCY1Rk']
1,en,1411215215719501827,130104041, smritiirani  iitdelhi A 16 year old caucasian male with unremarkable family history  Visit https   t co wS2G6L7Pkg,1439996225596497920,False, smritiirani  iitdelhi A 16 year old caucasian male with unremarkable family history  Visit https   t co wS2G6L7Pkg,2021-09-20T16:53:48.000Z,India,@smritiirani @iitdelhi A 16-year-old caucasian male with unremarkable family history..Visit https://t.co/wS2G6L7Pkg,[],[],"['smritiirani', 'iitdelhi']",['https://t.co/wS2G6L7Pkg']
