,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_hi,text_es
271,hi,smritiirani,130104041,True,1410536475515576321,"#DigitalIndia अभियान ने स्थापना के बाद से गत 6 वर्षों में करोड़ों लोगों के जीवन को बदला है।

PM @narendramodi जी के साथ संवाद के दौरान लाभार्थी महिला ने स्पष्ट किया है कि किस तरह ""DigiBunai"" आज समय, श्रम व संसाधनों की बचत के साथ-साथ उनके आय को बढ़ाने में कारगर सिद्ध हुआ है। https://t.co/wV4aiBTsW5",[],['DigitalIndia'],['narendramodi'],[],India,,2021-07-01 10:00:00, DigitalIndia अभियान ने स्थापना के बाद से गत 6 वर्षों में करोड़ों लोगों के जीवन को बदला है।PM  narendramodi जी के साथ संवाद के दौरान लाभार्थी महिला ने स्पष्ट किया है कि किस तरह  DigiBunai  आज समय  श्रम व संसाधनों की बचत के साथ साथ उनके आय को बढ़ाने में कारगर सिद्ध हुआ है। https   t co wV4aiBTsW5,
272,en,smritiirani,130104041,True,1410483746940280832,"#DigitalIndia - a flagship initiative spearheaded by PM @narendramodi Ji 6 yrs ago has brought paradigm shift in governance by improving connectivity &amp; enabling services digitally thereby taking govt. to citizens’ doorstep, fostering transparency &amp; enhancing public participation.",[],['DigitalIndia'],['narendramodi'],[],India, DigitalIndia   a flagship initiative spearheaded by PM  narendramodi Ji 6 yrs ago has brought paradigm shift in governance by improving connectivity  amp  enabling services digitally thereby taking govt  to citizens’ doorstep  fostering transparency  amp  enhancing public participation ,2021-07-01 06:00:00,,
273,en,smritiirani,130104041,True,1410472510299148291,"You are our frontline of defence not only during a global pandemic but through every ailment which afflicts us. My gratitude to my doctors who have kept me &amp; my loved ones safe. And to all Doctors this #DoctorsDay , you give life, you give hope, we are grateful for your services.",[],['DoctorsDay'],[],[],India,You are our frontline of defence not only during a global pandemic but through every ailment which afflicts us  My gratitude to my doctors who have kept me  amp  my loved ones safe  And to all Doctors this  DoctorsDay   you give life  you give hope  we are grateful for your services ,2021-07-01 06:00:00,,
274,en,smritiirani,130104041,True,1410452988427075588,"Wishing a very happy CA Day to all Chartered Accountants across the Nation . Grateful for your contribution towards building a resilient economy &amp; a strong, atmanirbhar New India.",[],[],[],[],India,Wishing a very happy CA Day to all Chartered Accountants across the Nation   Grateful for your contribution towards building a resilient economy  amp  a strong  atmanirbhar New India ,2021-07-01 04:00:00,,
275,en,smritiirani,130104041,True,1410438968831668225,"Birthday greetings to the Hon'ble Vice President of India, Shri @MVenkaiahNaidu ji. May God bless him with good health and a long life in the service of the Nation.",[],[],['MVenkaiahNaidu'],[],India,Birthday greetings to the Hon ble Vice President of India  Shri  MVenkaiahNaidu ji  May God bless him with good health and a long life in the service of the Nation ,2021-07-01 03:00:00,,
276,hi,smritiirani,130104041,True,1410309451802824707,"मैं निशब्द हूँ । ऐसा लगता अभी बोल उठेगा शरद ‘ चल दीदी क्षेत्र में कार्यक्रम करना है’ । चला गया , प्रभु की यही इच्छा थी । ईश्वर शरद त्रिपाठी जी की आत्मा को शांति दें , अपने श्री चरणों में स्थान दें। https://t.co/BTA2BsgDkD",[],[],[],[],India,,2021-06-30 19:00:00,मैं निशब्द हूँ । ऐसा लगता अभी बोल उठेगा शरद ‘ चल दीदी क्षेत्र में कार्यक्रम करना है’ । चला गया   प्रभु की यही इच्छा थी । ईश्वर शरद त्रिपाठी जी की आत्मा को शांति दें   अपने श्री चरणों में स्थान दें। https   t co BTA2BsgDkD,
277,en,smritiirani,130104041,True,1410229051051020293,"In a move to strengthen supply infra of Power DISCOMs, PM @narendramodi Ji led Cabinet approved Revamped Distribution Sector Scheme which will be based on reforms &amp; performance-driven. Scheme will improve DISCOMs’ operations &amp; financial sustainability. https://t.co/VGebGCrw1s",[],[],['narendramodi'],['https://t.co/VGebGCrw1s'],India,In a move to strengthen supply infra of Power DISCOMs  PM  narendramodi Ji led Cabinet approved Revamped Distribution Sector Scheme which will be based on reforms  amp  performance driven  Scheme will improve DISCOMs’ operations  amp  financial sustainability  https   t co VGebGCrw1s,2021-06-30 13:00:00,,
278,en,smritiirani,130104041,True,1410225067871506434,"On the eve of ‘Digital India’ Day, Union Cabinet approved expansion of BharatNet in 16 states. Decision reflecting GOI’s inclusive approach towards widening digital landscape will pave the way for optical fibre connectivity in nearly 3.61 lakh villages. https://t.co/AP4cKoxDq3","['xD', 'xp']",[],[],['https://t.co/AP4cKoxDq3'],India,On the eve of ‘Digital India’ Day  Union Cabinet approved eansion of BharatNet in 16 states  Decision reflecting GOI’s inclusive approach towards widening digital landscape will pave the way for optical fibre connectivity in nearly 3 61 lakh villages  https   t co AP4cKoq3,2021-06-30 13:00:00,,
279,en,smritiirani,130104041,True,1410158516992544768,"Taking a giant leap in cybersecurity, India now ranks 10th in ITU’s Global Cybersecurity Index 2020. It demonstrates PM @narendramodi Ji led Government’s commitment towards cybersecurity &amp; providing a safe digital space for everyone.
https://t.co/KVkxfUej9D",[],[],['narendramodi'],['https://t.co/KVkxfUej9D'],India,Taking a giant leap in cybersecurity  India now ranks 10th in ITU’s Global Cybersecurity Index 2020  It demonstrates PM  narendramodi Ji led Government’s commitment towards cybersecurity  amp  providing a safe digital space for everyone https   t co KVkxfUej9D,2021-06-30 09:00:00,,
280,en,smritiirani,130104041,True,1410154827036827648,"PM @NarendraModi ji led Government implemented pathbreaking tax reform 4 years ago. #4YearsOfGST has ensured affordability for consumers, ease in taxation and transparency &amp; digitisation of the Indian economy.",[],['4YearsOfGST'],['narendramodi'],[],India,PM  NarendraModi ji led Government implemented pathbreaking tax reform 4 years ago   4YearsOfGST has ensured affordability for consumers  ease in taxation and transparency  amp  digitisation of the Indian economy ,2021-06-30 09:00:00,,
281,en,smritiirani,130104041,True,1409692690648686592,Reforms for a New India … https://t.co/dxHoiq8qUh,[],[],[],['https://t.co/dxHoiq8qUh'],India,Reforms for a New India … https   t co dxHoiq8qUh,2021-06-29 02:00:00,,
282,en,smritiirani,130104041,True,1409512275900203009,My gratitude to PM @narendramodi Ji &amp; FM @nsitharaman Ji for announcing special support for augmenting paediatric health infrastructure besides making provisions for strengthening healthcare systems in the country. https://t.co/UFi61SWmaZ,[],[],"['narendramodi', 'nsitharaman']",[],India,My gratitude to PM  narendramodi Ji  amp  FM  nsitharaman Ji for announcing special support for augmenting paediatric health infrastructure besides making provisions for strengthening healthcare systems in the country  https   t co UFi61SWmaZ,2021-06-28 14:00:00,,
283,en,smritiirani,130104041,True,1409511499643510787,Thankful to PM @narendramodi ji for economic measures announced by FM @nsitharaman Ji in India’s fight against Covid. Measures show GOI commitment to boost the economy by bringing in actionable solutions for socio-economic welfare of the citizens of India. https://t.co/tszJdYf7K6 https://t.co/KWQtifQ2Vc,[],[],"['narendramodi', 'nsitharaman']",['https://t.co/tszJdYf7K6'],India,Thankful to PM  narendramodi ji for economic measures announced by FM  nsitharaman Ji in India’s fight against Covid  Measures show GOI commitment to boost the economy by bringing in actionable solutions for socio economic welfare of the citizens of India  https   t co tszJdYf7K6 https   t co KWQtifQ2Vc,2021-06-28 14:00:00,,
284,hi,smritiirani,130104041,True,1409401659244040194,"इस रबी सीजन में 433.5L टन गेंहू खरीदी के लिए तय लक्ष्य को लगभग पूरा कर लिया गया है। अब तक 49 लाख से अधिक किसानों को MSP दरों पर ₹85,400 करोड़ का भुगतान किया जा चुका है।

PM @narendramodi जी के नेतृत्व में सरकार किसानों की आर्थिक विकास के लिए समर्पित है।
https://t.co/DITQJbi8Bi",[],[],['narendramodi'],['https://t.co/DITQJbi8Bi'],India,,2021-06-28 07:00:00,इस रबी सीजन में 433 5L टन गेंहू खरीदी के लिए तय लक्ष्य को लगभग पूरा कर लिया गया है। अब तक 49 लाख से अधिक किसानों को MSP दरों पर ₹85 400 करोड़ का भुगतान किया जा चुका है।PM  narendramodi जी के नेतृत्व में सरकार किसानों की आर्थिक विकास के लिए समर्पित है।https   t co DITQJbi8Bi,
285,en,smritiirani,130104041,True,1409317295365791749,An octopus settlement!!! https://t.co/3RHyrp6hGd,[],[],[],['https://t.co/3RHyrp6hGd'],India,An octopus settlement    https   t co 3RHyrp6hGd,2021-06-28 01:00:00,,
286,en,smritiirani,130104041,True,1409315334373445633,When the stars bear witness… https://t.co/mAxhW90Jn7,[],[],[],['https://t.co/mAxhW90Jn7'],India,When the stars bear witness… https   t co mAxhW90Jn7,2021-06-28 01:00:00,,
287,en,smritiirani,130104041,True,1409146844374917123,"Exciting quiz alert on PM @narendramodi Ji’s #MannKiBaat! 

Check out the latest quiz at Namo App, top scorers will receive the #MannKiBaat book. https://t.co/ZNpsq3vV3C",[],"['MannKiBaat', 'MannKiBaat']",['narendramodi'],['https://t.co/ZNpsq3vV3C'],India,Exciting quiz alert on PM  narendramodi Ji’s  MannKiBaat  Check out the latest quiz at Namo App  top scorers will receive the  MannKiBaat book  https   t co ZNpsq3vV3C,2021-06-27 14:00:00,,
288,hi,smritiirani,130104041,True,1409145488457101315,"PM @narendramodi जी ने आज #MannKiBaat में गुरु प्रसाद महापात्रा जी की चर्चा की।

कोरोना होने के बावजूद उन्होंने जिस तरह अपने कर्तव्य का निर्वाह किया और ऑक्सीजन की आपूर्ति सुनिश्चित करने हेतु निरंतर कार्य करते रहे वह प्रेरणादायी है।

ऐसे समर्पित कर्मयोगी को श्रद्धांजलि।🙏 https://t.co/o7Nm52fTiY",['🙏'],['MannKiBaat'],['narendramodi'],[],India,,2021-06-27 14:00:00,PM  narendramodi जी ने आज  MannKiBaat में गुरु प्रसाद महापात्रा जी की चर्चा की।कोरोना होने के बावजूद उन्होंने जिस तरह अपने कर्तव्य का निर्वाह किया और ऑक्सीजन की आपूर्ति सुनिश्चित करने हेतु निरंतर कार्य करते रहे वह प्रेरणादायी है।ऐसे समर्पित कर्मयोगी को श्रद्धांजलि। https   t co o7Nm52fTiY,
289,hi,smritiirani,130104041,True,1409108472973627395,"महाराष्ट्र में स्पोर्ट्स कॉम्प्लेक्स में आयोजित एक बैठक के कारण करोड़ों की लागत से बना एथलेटिक्स ट्रैक जी हुजूरी की भेंट चढ़ गया।

खिलाड़ियों के सुविधाओं को सुदृढ़ करने की बजाय महाराष्ट्र के खेल मंत्री स्वयं व्यवस्था को बिगाड़ने में लगे हुए हैं।
https://t.co/tOm7BXHVjY",[],[],[],['https://t.co/tOm7BXHVjY'],India,,2021-06-27 11:00:00,महाराष्ट्र में स्पोर्ट्स कॉम्प्लेक्स में आयोजित एक बैठक के कारण करोड़ों की लागत से बना एथलेटिक्स ट्रैक जी हुजूरी की भेंट चढ़ गया।खिलाड़ियों के सुविधाओं को सुदृढ़ करने की बजाय महाराष्ट्र के खेल मंत्री स्वयं व्यवस्था को बिगाड़ने में लगे हुए हैं।https   t co tOm7BXHVjY,
290,hi,smritiirani,130104041,True,1409092139573669891,"आज #MannKiBaat में PM @narendramodi जी ने मुजफ्फरनगर, उत्तर प्रदेश की @Priyanka_Goswam जी के संघर्षों की चर्चा की।

संसाधनों के अभाव में भी प्रियंका ने जिस तरह हौसला बनाए रखा व मुकाम हासिल किया है वह देश भर की बेटियों के लिए मिसाल है। उन्हें भविष्य के लिए शुभकामनाएं। https://t.co/P7Rrctem99",[],['MannKiBaat'],"['narendramodi', 'Priyanka_Goswam']",[],India,,2021-06-27 10:00:00,आज  MannKiBaat में PM  narendramodi जी ने मुजफ्फरनगर  उत्तर प्रदेश की  Priyanka Goswam जी के संघर्षों की चर्चा की।संसाधनों के अभाव में भी प्रियंका ने जिस तरह हौसला बनाए रखा व मुकाम हासिल किया है वह देश भर की बेटियों के लिए मिसाल है। उन्हें भविष्य के लिए शुभकामनाएं। https   t co P7Rrctem99,
291,en,smritiirani,130104041,True,1408747718663569409,Absolutely delighted to witness the appointment of Sharda Devi as @BJP4Manipur State President. I had the privilege of serving with her in @BJPMahilaMorcha . She has diligently served the sangathan for years &amp; will I’m sure continue to put in her best in the times to come. https://t.co/raS0dxapzJ,[],[],"['BJP4Manipur', 'BJPMahilaMorcha']",[],India,Absolutely delighted to witness the appointment of Sharda Devi as  BJP4Manipur State President  I had the privilege of serving with her in  BJPMahilaMorcha   She has diligently served the sangathan for years  amp  will I’m sure continue to put in her best in the times to come  https   t co raS0dxapzJ,2021-06-26 11:00:00,,
