,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date
0,en,True,1441084483768184833,It was all Iyer just a while back but now Tripathi is bringing out the big shots as well. 43 off 27 balls for Tripathi and 27 off 23 for Iyer!,[],[],[],[],USA,It was all Iyer just a while back but now Tripathi is bringing out the big shots as well  43 off 27 balls for Tripathi and 27 off 23 for Iyer ,2021-09-23 17:00:00
1,en,False,1441084474645573636,@yessialvarezz @YAlDELS @_wendyyx3 LMAOOOO BRO WHY IS THAT US AFTER 3 SHOTS,[],[],"['yessialvarezz', 'YAlDELS', '_wendyyx3']",[],USA, yessialvarezz  YAlDELS   wendyyx3 LMAOOOO BRO WHY IS THAT US AFTER 3 SHOTS,2021-09-23 17:00:00
2,en,False,1441084469620854787,"Sometimes, a strict diet and exercise regimen isn't enough to shed those extra pounds. At Medical Solution Center, we are offering a special on B-12 shots. B-12 injections help promote weight loss, increase metabolism, and energy. Read more:
https://t.co/Jnv3DpXS9q https://t.co/s19sakgZIc",[],[],[],['https://t.co/Jnv3DpXS9q'],USA,Sometimes  a strict diet and exercise regimen isn t enough to shed those extra pounds  At Medical Solution Center  we are offering a special on B 12 shots  B 12 injections help promote weight loss  increase metabolism  and energy  Read more https   t co Jnv3DpXS9q https   t co s19sakgZIc,2021-09-23 17:00:00
3,en,False,1441084443142201346,"VCF News on Demand - 12 Noon - Sept 23, 2021
https://t.co/psDXUyetdX

Steve Brandy takes a look at latest COVID numbers, flu shots, and Tuesday's Danville City Council meeting that honored the ""Seven Plaintiffs"" from 1987. https://t.co/fYXeeKqHFk",[],[],[],"['https://t.co/psDXUyetdX', 'https://t.co/fYXeeKqHFk']",USA,VCF News on Demand   12 Noon   Sept 23  2021https   t co psDXUyetdXSteve Brandy takes a look at latest COVID numbers  flu shots  and Tuesday s Danville City Council meeting that honored the  Seven Plaintiffs  from 1987  https   t co fYXeeKqHFk,2021-09-23 17:00:00
4,en,False,1441084437836574727,"""Even Young Will Need to Take Vaccine Booster Shots Indefinitely""
- CEO of Moderna

📰 https://t.co/f3nx3hTIsA #BoosterShots #vaccine #moderna #children",['📰'],"['BoosterShots', 'vaccine', 'moderna', 'children']",[],['https://t.co/f3nx3hTIsA'],USA, Even Young Will Need to Take Vaccine Booster Shots Indefinitely   CEO of Moderna https   t co f3nx3hTIsA  BoosterShots  vaccine  moderna  children,2021-09-23 17:00:00
5,en,False,1441084437798653954,"@CaptinDeckerSTR Pfizer, a slightly sore arm after both shots, and no other side effects, even though I prepped like no one else’s business to be under the weather. The soreness wasn’t as bad as most of my “I worked out yesterday” aches.",[],[],['CaptinDeckerSTR'],[],USA, CaptinDeckerSTR Pfizer  a slightly sore arm after both shots  and no other side effects  even though I prepped like no one else’s business to be under the weather  The soreness wasn’t as bad as most of my “I worked out yesterday” aches ,2021-09-23 17:00:00
6,en,False,1441084437568147456,"Oaks fought hard against Point Park in a close match, resulting in a 1-0 loss.
Shots on goal = 10 (OCU) vs. 6 (PP)
Saves = 3 (OCU) vs. 8 (PP)
Corner Kicks = 6 (OCU) vs. 3 (PP)

Next Match Away vs. Brescia University 09/23/21 @ 7.30pm https://t.co/XG5oH63yZp",[],[],[],[],USA,Oaks fought hard against Point Park in a close match  resulting in a 1 0 loss Shots on goal   10  OCU  vs  6  PP Saves   3  OCU  vs  8  PP Corner Kicks   6  OCU  vs  3  PP Next Match Away vs  Brescia University 09 23 21   7 30pm https   t co XG5oH63yZp,2021-09-23 17:00:00
7,en,False,1441084428529270785,@thedazzler1984 27 shots,[],[],['thedazzler1984'],[],USA, thedazzler1984 27 shots,2021-09-23 17:00:00
8,en,False,1441084419490471938,@surendipity13 @ProFootballTalk He was taking cheap shots week 17 vs dallas the whole game and was being a loser. Deserved tbh,[],[],"['surendipity13', 'ProFootballTalk']",[],USA, surendipity13  ProFootballTalk He was taking cheap shots week 17 vs dallas the whole game and was being a loser  Deserved tbh,2021-09-23 17:00:00
9,en,False,1441084414541262849,@billyquachfilms Love these shots!,[],[],['billyquachfilms'],[],USA, billyquachfilms Love these shots ,2021-09-23 17:00:00
10,en,False,1441084396140838921,"salah majorly operates in the final third, he's always on the receiving end of balls into the final third, of course, he's going to have every stat that relates to shots, goals, and assists in his favour https://t.co/fpp8gg25Kw",[],[],[],['https://t.co/fpp8gg25Kw'],USA,salah majorly operates in the final third  he s always on the receiving end of balls into the final third  of course  he s going to have every stat that relates to shots  goals  and assists in his favour https   t co fpp8gg25Kw,2021-09-23 17:00:00
11,en,False,1441084379246256128,"@GodSpeedyBoi1 @arobin0888 @armax_haha @rocketoni @marvel_shots 1 Captain did better because he caught Thanos out of guard, when he came up to his senses he overpowered him fast

2 i agree with the fact he wasn't ass strong as he used to, but his durability and magic remained the same which is what we're talking about+",[],[],"['GodSpeedyBoi1', 'arobin0888', 'armax_haha', 'rocketoni', 'marvel_shots']",[],USA, GodSpeedyBoi1  arobin0888  armax haha  rocketoni  marvel shots 1 Captain did better because he caught Thanos out of guard  when he came up to his senses he overpowered him fast2 i agree with the fact he wasn t ass strong as he used to  but his durability and magic remained the same which is what we re talking about ,2021-09-23 17:00:00
12,en,False,1441084367183310848,"Today, @CDCgov Advisory Committee on Immunization Practices (#ACIP) votes on whether to recommend #COVID19 booster shots.

📢 Tune in to see Fellow Harald Schmidt (@harald_tweets) discuss how to allocate these shots to reduce health inequity 
https://t.co/DwQr6b6x2H",['📢'],"['ACIP', 'COVID19']","['CDCgov', 'harald_tweets']",['https://t.co/DwQr6b6x2H'],USA,Today   CDCgov Advisory Committee on Immunization Practices   ACIP  votes on whether to recommend  COVID19 booster shots  Tune in to see Fellow Harald Schmidt   harald tweets  discuss how to allocate these shots to reduce health inequity https   t co DwQr6b6x2H,2021-09-23 17:00:00
