,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_en,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,text_hi,text_es
188,en,1441075724778029064,834025714517159936, djaywalebabu Bumrah make sachin right,1441076024775643144,False, djaywalebabu Bumrah make sachin right,2021-09-23T16:24:32.000Z,USA,@djaywalebabu Bumrah make sachin right,[],[],['djaywalebabu'],[],,
189,en,1441075637553270784,1306955946560610304, rszelon no i mean he even needed papa to save him but still ,1441092136296873986,False, rszelon no i mean he even needed papa to save him but still ,2021-09-23T17:28:34.000Z,USA,@rszelon no i mean he even needed papa to save him but still.,[],[],['rszelon'],[],,
190,en,1441075637553270784,1306955946560610304, marrisph LMAOOO IM SORRYdw tm would never be able to pull it off,1441091896592326663,False, marrisph LMAOOO IM SORRYdw tm would never be able to pull it off,2021-09-23T17:27:36.000Z,USA,"@marrisph LMAOOO IM SORRY
dw tm would never be able to pull it off",[],[],['marrisph'],[],,
191,en,1441075637553270784,1306955946560610304, rszelon ika be glad that i love you bc WHY  THAT LINE DHSJKL NOW YOU MESSED TM UP FOR ME NOOOOOOOOO THAT LINE WILL NOW BE STUCKED TO MY HEAAADDDDDDDDD,1441091347461468166,False, rszelon ika be glad that i love you bc WHY  THAT LINE DHSJKL NOW YOU MESSED TM UP FOR ME NOOOOOOOOO THAT LINE WILL NOW BE STUCKED TO MY HEAAADDDDDDDDD,2021-09-23T17:25:26.000Z,USA,@rszelon ika be glad that i love you bc WHY  THAT LINE DHSJKL NOW YOU MESSED TM UP FOR ME NOOOOOOOOO THAT LINE WILL NOW BE STUCKED TO MY HEAAADDDDDDDDD,[],[],['rszelon'],['https://t.co/3zutk0zjzo'],,
192,en,1441075637553270784,1306955946560610304, marrisph sorry mari i was jumping through the vid and thought of the childe quote LMAOOO,1441088247837253647,False, marrisph sorry mari i was jumping through the vid and thought of the childe quote LMAOOO,2021-09-23T17:13:07.000Z,USA,@marrisph sorry mari i was jumping through the vid and thought of the childe quote LMAOOO,[],[],['marrisph'],[],,
193,en,1441075637553270784,1306955946560610304, marrisph hey girlie  hold still https   t co TwY4PXycHh,1441088133043408899,False, marrisph hey girlie  hold still https   t co TwY4PXycHh,2021-09-23T17:12:39.000Z,USA,"@marrisph hey girlie, hold still https://t.co/TwY4PXycHh",[],[],['marrisph'],[],,
194,en,1441075435362791424,1143654615671615490, catchfireswhore same ,1441077416265277442,False, catchfireswhore same ,2021-09-23T16:30:04.000Z,USA,@catchfireswhore same ✋🏼,['✋🏼'],[],['catchfireswhore'],[],,
195,en,1441075435362791424,1143654615671615490, startIinelrh Literally me,1441076113652928514,False, startIinelrh Literally me,2021-09-23T16:24:54.000Z,USA,@startIinelrh Literally me,[],[],['startIinelrh'],[],,
196,en,1441075400814309376,841385187049132033, JGaffneyUSN Thank you  ,1441076972847837185,False, JGaffneyUSN Thank you  ,2021-09-23T16:28:18.000Z,USA,@JGaffneyUSN Thank you!!,[],[],['JGaffneyUSN'],[],,
197,en,1441075396645044227,100418376, Leon SpottyDog And here I thought i was gonna have a new crush ,1441084039796981762,False, Leon SpottyDog And here I thought i was gonna have a new crush ,2021-09-23T16:56:23.000Z,USA,@Leon_SpottyDog And here I thought i was gonna have a new crush 🙄,['🙄'],[],['Leon_SpottyDog'],[],,
198,en,1441075396645044227,100418376, Sokatak Thank goodness she aint a cat ,1441083334889594883,False, Sokatak Thank goodness she aint a cat ,2021-09-23T16:53:35.000Z,USA,@Sokatak Thank goodness she aint a cat 😏💅,"['😏', '💅']",[],['Sokatak'],[],,
199,en,1441075396645044227,100418376, Leon SpottyDog    I look forward to when you can brain dump ALL the agony you ve been through  seriously I m all about it  ,1441079104657371142,False, Leon SpottyDog    I look forward to when you can brain dump ALL the agony you ve been through  seriously I m all about it  ,2021-09-23T16:36:47.000Z,USA,"@Leon_SpottyDog ...I look forward to when you can brain-dump ALL the agony you've been through, seriously I'm all about it. :D",[':D'],[],['Leon_SpottyDog'],[],,
200,en,1441075358820933632,513403369, IfazAFC I agree with this,1441078126495207432,False, IfazAFC I agree with this,2021-09-23T16:32:53.000Z,USA,@IfazAFC I agree with this,[],[],['IfazAFC'],[],,
201,en,1441075358820933632,513403369, AlexCullen17 I d give him more chances in the LW  We really forgot how good he is  It should be him  Auba  and Saka ,1441076687836381197,False, AlexCullen17 I d give him more chances in the LW  We really forgot how good he is  It should be him  Auba  and Saka ,2021-09-23T16:27:10.000Z,USA,"@AlexCullen17 I'd give him more chances in the LW. We really forgot how good he is. It should be him, Auba, and Saka.",[],[],['AlexCullen17'],[],,
202,en,1441075315430748160,1366020745, Ao   I’m serious Alan I’m turning everything down so save your money ,1441080764024696836,False, Ao   I’m serious Alan I’m turning everything down so save your money ,2021-09-23T16:43:22.000Z,USA,@Ao__ I’m serious Alan I’m turning everything down so save your money 😂,['😂'],[],['Ao__'],[],,
