,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_en,tweet_date,text_hi
605,en,nsitharaman,58243368,True,1245920630232375297,"Let’s defeat #Corona together. Let Ma Bharati win. Remember on Sunday, 5 April, give 9 minutes standing out of homes, either in your balcony or outside the doorway, keep a light in your hand&amp; remember we are all together in this fight. Social distancing to be respected. @PMOIndia",[],['Corona'],['PMOIndia'],[],India,Let’s defeat  Corona together  Let Ma Bharati win  Remember on Sunday  5 April  give 9 minutes standing out of homes  either in your balcony or outside the doorway  keep a light in your hand amp  remember we are all together in this fight  Social distancing to be respected   PMOIndia,2020-04-03 04:00:00,
606,en,nsitharaman,58243368,True,1245919206786224130,"On 5 April, Sunday, at 21:00 hrs switching off all lights, please stand out of your houses for nine minutes&amp; keep a light- a candle, a Diya, a torch-remembering that we are not alone in this fight against #Corona . Please maintain social distancing even while doing so. @PMOIndia",[],['Corona'],['PMOIndia'],[],India,On 5 April  Sunday  at 21 00 hrs switching off all lights  please stand out of your houses for nine minutes amp  keep a light  a candle  a Diya  a torch remembering that we are not alone in this fight against  Corona   Please maintain social distancing even while doing so   PMOIndia,2020-04-03 04:00:00,
607,en,nsitharaman,58243368,True,1245918118335008768,"It is certainly a lockdown. We are in  our homes, but we are not alone in this. We are all together and since we are each - Janata Janardan- a form of the Universal Supreme we have collective energy to fight this #Corona, says @PMOIndia",[],['Corona'],['PMOIndia'],[],India,It is certainly a lockdown  We are in  our homes  but we are not alone in this  We are all together and since we are each   Janata Janardan  a form of the Universal Supreme we have collective energy to fight this  Corona  says  PMOIndia,2020-04-03 04:00:00,
608,en,nsitharaman,58243368,True,1245917096153763843,"Thanks for following the ‘shasan’ and ‘anushasan’, says @PMOIndia @narendramodi.",[],[],"['PMOIndia', 'narendramodi']",[],India,Thanks for following the ‘shasan’ and ‘anushasan’  says  PMOIndia  narendramodi ,2020-04-03 04:00:00,
609,en,nsitharaman,58243368,True,1245613008560066565,"Well done, Tiruppur (TN) Collector @Vijaykarthikeyn. #IndiaFightsCarona https://t.co/bjovTlfB8z",[],['IndiaFightsCarona'],['Vijaykarthikeyn'],['https://t.co/bjovTlfB8z'],India,Well done  Tiruppur  TN  Collector  Vijaykarthikeyn   IndiaFightsCarona https   t co bjovTlfB8z,2020-04-02 07:00:00,
610,en,nsitharaman,58243368,True,1244626278059106310,"Appreciate the Principal Commisioner of Customs, Noida for issuing a timely Advisory on non-charging of container detention charges during the lockdown period. Facilitates Exporters/Importers in these extra ordinary situations. https://t.co/snt3EV9yCG",['xp'],[],[],['https://t.co/snt3EV9yCG'],India,Appreciate the Principal Commisioner of Customs  Noida for issuing a timely Advisory on non charging of container detention charges during the lockdown period  Facilitates Eorters Importers in these extra ordinary situations  https   t co snt3EV9yCG,2020-03-30 14:00:00,
611,en,nsitharaman,58243368,True,1244607905254367234,Appreciate the commitment. https://t.co/kA0fEvWzMZ,[],[],[],['https://t.co/kA0fEvWzMZ'],India,Appreciate the commitment  https   t co kA0fEvWzMZ,2020-03-30 13:00:00,
612,en,nsitharaman,58243368,True,1244598095872024577,Good practice Kanpur RO. Keep the good work going. https://t.co/up90SKqZMN,[],[],[],['https://t.co/up90SKqZMN'],India,Good practice Kanpur RO  Keep the good work going  https   t co up90SKqZMN,2020-03-30 12:00:00,
613,en,nsitharaman,58243368,True,1244597915391123456,Keep the good work going. Appreciate the dedication. https://t.co/v96DCSYk8z,[],[],[],['https://t.co/v96DCSYk8z'],India,Keep the good work going  Appreciate the dedication  https   t co v96DCSYk8z,2020-03-30 12:00:00,
614,en,nsitharaman,58243368,True,1244558065052946432,"Good gesture. Hopefully, you are in contact with concerned district authorities to ensure their overall care. #SocialDistancing #StaySafe https://t.co/mANHkHicpA",[],"['SocialDistancing', 'StaySafe']",[],['https://t.co/mANHkHicpA'],India,Good gesture  Hopefully  you are in contact with concerned district authorities to ensure their overall care   SocialDistancing  StaySafe https   t co mANHkHicpA,2020-03-30 10:00:00,
615,en,nsitharaman,58243368,True,1244538279694716934,"All banks are ensuring that their branches are kept open, ATMs filled up &amp; are working. Banking correspondents are active. Social distancing is respected &amp; sanitizers are provided where necessary. Just in case, any assistance/clarification is required contact @DFSFightsCorona",[],[],['DFSFightsCorona'],[],India,All banks are ensuring that their branches are kept open  ATMs filled up  amp  are working  Banking correspondents are active  Social distancing is respected  amp  sanitizers are provided where necessary  Just in case  any assistance clarification is required contact  DFSFightsCorona,2020-03-30 08:00:00,
616,en,nsitharaman,58243368,True,1244283195350110211,Appreciate the dedication. Keep up the good work. https://t.co/AIOBRPiHGu,[],[],[],['https://t.co/AIOBRPiHGu'],India,Appreciate the dedication  Keep up the good work  https   t co AIOBRPiHGu,2020-03-29 15:00:00,
617,en,nsitharaman,58243368,True,1244099374734430208,Appreciate the commitment. Keep up the good work. https://t.co/sYL8r1gAjD,[],[],[],['https://t.co/sYL8r1gAjD'],India,Appreciate the commitment  Keep up the good work  https   t co sYL8r1gAjD,2020-03-29 03:00:00,
618,en,nsitharaman,58243368,True,1244099153967243264,Bank Correspondents’ dedication and commitment to work is much appreciated. Keep the good work going @centralbank_in https://t.co/ZeFdVuXW21,[],[],['centralbank_in'],['https://t.co/ZeFdVuXW21'],India,Bank Correspondents’ dedication and commitment to work is much appreciated  Keep the good work going  centralbank in https   t co ZeFdVuXW21,2020-03-29 03:00:00,
619,en,nsitharaman,58243368,True,1244097129779355648,“...any contribution made to the PM CARES Fund shall qualify as CSR expenditure...” https://t.co/ZpQRcpXg3I https://t.co/t7oZ6jXXU0,['xp'],[],[],['https://t.co/ZpQRcpXg3I'],India,“   any contribution made to the PM CARES Fund shall qualify as CSR eenditure   ” https   t co ZpQRcpXg3I https   t co t7oZ6jXXU0,2020-03-29 03:00:00,
620,en,nsitharaman,58243368,True,1244094953522774017,"Appreciate the dedication. Effort to comply with social distancing, hand sanitising etc, are the need of the hour. In public interest. https://t.co/yO5jfHSFka",[],[],[],['https://t.co/yO5jfHSFka'],India,Appreciate the dedication  Effort to comply with social distancing  hand sanitising etc  are the need of the hour  In public interest  https   t co yO5jfHSFka,2020-03-29 03:00:00,
621,en,nsitharaman,58243368,True,1244090501352964096,CSR Funds can now donate to PM CARES Fund. Ministry of Corporate Affairs notifies details.,[],[],[],[],India,CSR Funds can now donate to PM CARES Fund  Ministry of Corporate Affairs notifies details ,2020-03-29 03:00:00,
622,en,nsitharaman,58243368,True,1243921534567104512,Keep the good work going. Appreciate the dedication. @FinMinIndia https://t.co/gTTyxg2q78,[],[],['FinMinIndia'],['https://t.co/gTTyxg2q78'],India,Keep the good work going  Appreciate the dedication   FinMinIndia https   t co gTTyxg2q78,2020-03-28 15:00:00,
623,en,nsitharaman,58243368,True,1243904772446359553,"India needs to strengthen capacities for disaster management. We need more research in this area.
Please contribute — a little or a lot — to the PM CARES Fund. https://t.co/Tf28Ls8CZX",[],[],[],[],India,India needs to strengthen capacities for disaster management  We need more research in this area Please contribute — a little or a lot — to the PM CARES Fund  https   t co Tf28Ls8CZX,2020-03-28 14:00:00,
624,en,nsitharaman,58243368,True,1243900720006352897,Appreciate the dedication. #IndiaFightsCorona https://t.co/XebiXj9FgI,[],['IndiaFightsCorona'],[],['https://t.co/XebiXj9FgI'],India,Appreciate the dedication   IndiaFightsCorona https   t co XebiXj9FgI,2020-03-28 14:00:00,
