,tweet_lang,replied_to_tweet_id,replied_to_user_id,reply_text,id,verified,text_es,tweet_date,country,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls
42,es,1439237676021043200,96144763, SRE mx  MaritoAbdo De acuerdo,1439321373369905160,False, SRE mx  MaritoAbdo De acuerdo,2021-09-18T20:12:11.000Z,Mexico,@SRE_mx @MaritoAbdo De acuerdo,[],[],"['SRE_mx', 'MaritoAbdo']",[]
43,es,1439237676021043200,96144763, SRE mx  MaritoAbdo comes y te vas Mario    ,1439313008518381575,False, SRE mx  MaritoAbdo comes y te vas Mario    ,2021-09-18T19:38:57.000Z,Mexico,@SRE_mx @MaritoAbdo comes y te vas Mario... 😝,['😝'],[],"['SRE_mx', 'MaritoAbdo']",[]
44,es,1439237676021043200,96144763, SRE mx  MaritoAbdo jajajja https   t co An7UEfM3OS,1439310931650093061,False, SRE mx  MaritoAbdo jajajja https   t co An7UEfM3OS,2021-09-18T19:30:41.000Z,Mexico,@SRE_mx @MaritoAbdo jajajja https://t.co/An7UEfM3OS,[],[],"['SRE_mx', 'MaritoAbdo']",[]
45,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Estoy de acuerdo los pueblos de América aspiramos a una unión  por un futuro mejor ,1439304218322505733,False, SRE mx  MaritoAbdo Estoy de acuerdo los pueblos de América aspiramos a una unión  por un futuro mejor ,2021-09-18T19:04:01.000Z,Mexico,"@SRE_mx @MaritoAbdo Estoy de acuerdo los pueblos de América aspiramos a una unión ""por un futuro mejor""",[],[],"['SRE_mx', 'MaritoAbdo']",[]
46,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Yo como Mexicana tampoco quiero a Maduro fuera de mi país,1439300110584778757,False, SRE mx  MaritoAbdo Yo como Mexicana tampoco quiero a Maduro fuera de mi país,2021-09-18T18:47:41.000Z,Mexico,@SRE_mx @MaritoAbdo Yo como Mexicana tampoco quiero a Maduro fuera de mi país,[],[],"['SRE_mx', 'MaritoAbdo']",[]
47,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Jaja a la ching  Madurocy todo govierno comunista   Sexve como Maduroctiene mierd   En el cerebro no  sale de su estupida y trillada  Revolucion bolivariana   Quex se la meta por dondexle emana ese producto café   Y amlo  ,1439290996030849035,False, SRE mx  MaritoAbdo Jaja a la ching  Madurocy todo govierno comunista   Sexve como Maduroctiene mierd   En el cerebro no  sale de su estupida y trillada  Revolucion bolivariana   Quex se la meta por dondexle emana ese producto café   Y amlo  ,2021-09-18T18:11:28.000Z,Mexico,"@SRE_mx @MaritoAbdo Jaja a la ching  Madurocy todo govierno comunista.. Sexve como Maduroctiene mierd.. En el cerebro no, sale de su estupida y trillada. Revolucion bolivariana.. Quex se la meta por dondexle emana ese producto café.. Y amlo  🖕",['🖕'],[],"['SRE_mx', 'MaritoAbdo']",['https://t.co/Kj9KvSaBSx']
48,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Les faltó algo https   t co OruyJQNntK,1439282494751248386,False, SRE mx  MaritoAbdo Les faltó algo https   t co OruyJQNntK,2021-09-18T17:37:41.000Z,Mexico,@SRE_mx @MaritoAbdo Les faltó algo https://t.co/OruyJQNntK,[],[],"['SRE_mx', 'MaritoAbdo']",[]
49,es,1439237676021043200,96144763, SRE mx  MaritoAbdo “Mi presencia en esta cumbre en ningún sentido ni circunstancia representa un reconocimiento al gobierno del señor Nicolás Maduro”  eresó Benítez     Y eso no lo publicas  SRE mx     Muy bien por el presidente de Paraguay,1439282015380049932,False, SRE mx  MaritoAbdo “Mi presencia en esta cumbre en ningún sentido ni circunstancia representa un reconocimiento al gobierno del señor Nicolás Maduro”  eresó Benítez     Y eso no lo publicas  SRE mx     Muy bien por el presidente de Paraguay,2021-09-18T17:35:47.000Z,Mexico,"@SRE_mx @MaritoAbdo “Mi presencia en esta cumbre en ningún sentido ni circunstancia representa un reconocimiento al gobierno del señor Nicolás Maduro”, expresó Benítez.    Y eso no lo publicas @SRE_mx ??? Muy bien por el presidente de Paraguay",['xp'],[],"['SRE_mx', 'MaritoAbdo']",['https://t.co/O8M3NWOhRJ']
50,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Hahahaha más importante no reconoció la dictadura del asqueroso  NicolasMaduro,1439272452379512834,False, SRE mx  MaritoAbdo Hahahaha más importante no reconoció la dictadura del asqueroso  NicolasMaduro,2021-09-18T16:57:47.000Z,Mexico,@SRE_mx @MaritoAbdo Hahahaha más importante no reconoció la dictadura del asqueroso @NicolasMaduro,[],[],"['SRE_mx', 'MaritoAbdo', 'NicolasMaduro']",[]
51,es,1439237676021043200,96144763, SRE mx  MaritoAbdo Gracias Paraguay por desconocer al usurpador ,1439262290008739843,False, SRE mx  MaritoAbdo Gracias Paraguay por desconocer al usurpador ,2021-09-18T16:17:24.000Z,Mexico,@SRE_mx @MaritoAbdo Gracias Paraguay por desconocer al usurpador!,[],[],"['SRE_mx', 'MaritoAbdo']",[]
