,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_hi,tweet_date
0,hi,False,1440677996671561741,"पासपोर्ट को कोविड-19 वैक्सीन सर्टिफिकेट से लिंक कराया? जानें प्रोसेस
#passportlink 
#COVID19 
#Indiavaccine 
https://t.co/FjfZVhEs1q",[],"['passportlink', 'COVID19', 'Indiavaccine']",[],['https://t.co/FjfZVhEs1q'],India,पासपोर्ट को कोविड 19 वैक्सीन सर्टिफिकेट से लिंक कराया  जानें प्रोसेस passportlink  COVID19  Indiavaccine https   t co FjfZVhEs1q,2021-09-22 14:00:00
1,hi,False,1440517304563879936,पासपोर्ट को कोरोना वैक्सीन सर्टिफिकेट से लिंक नहीं कराया? जानें स्टेप बाइ स्टेप प्रोसेस https://t.co/3q8vPo7YAw,[],[],[],['https://t.co/3q8vPo7YAw'],India,पासपोर्ट को कोरोना वैक्सीन सर्टिफिकेट से लिंक नहीं कराया  जानें स्टेप बाइ स्टेप प्रोसेस https   t co 3q8vPo7YAw,2021-09-22 03:00:00
2,hi,False,1437868759675506693,"ऑस्ट्रेलिया में 'वैक्सीन पासपोर्ट' व्यवस्था होगी लागू

https://t.co/VpfqqDQtat",[],[],[],['https://t.co/VpfqqDQtat'],India,ऑस्ट्रेलिया में  वैक्सीन पासपोर्ट  व्यवस्था होगी लागूhttps   t co VpfqqDQtat,2021-09-14 20:00:00
