,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_hi,tweet_date
0,hi,False,1440848832581943296,"सस्ते  हमारे   मुल्क   में  इंसान   हो   गए
अफसोस  हुक्मराँ सभी   हैवान   हो   गए
मरने के बाद बन गए कुत्तों की हम खुराक
मंज़र  ये  देख  कर  सभी   हैरान  हो  गए https://t.co/9xCYEtltuo",[],[],[],[],India,सस्ते  हमारे   मुल्क   में  इंसान   हो   गएअफसोस  हुक्मराँ सभी   हैवान   हो   गएमरने के बाद बन गए कुत्तों की हम खुराकमंज़र  ये  देख  कर  सभी   हैरान  हो  गए https   t co 9xCYEtltuo,2021-09-23 01:00:00
1,hi,False,1440834097459306501,"""उपलब्ध वैज्ञानिक साक्ष्यों की समग्रता और स्वतंत्र, बाहरी विशेषज्ञों की हमारी सलाहकार समिति के विचार-विमर्श के बाद, FDA ने स्वास्थ्य देखभाल जैसी कुछ आबादी में बूस्टर खुराक की अनुमति देने के लिए फाइजर-बायोएनटेक COVID-19 वैक्सीन के लिए EUA में संशोधन  #

https://t.co/XrWKNbyuFw https://t.co/d2Cq47gShK",[],[],[],['https://t.co/XrWKNbyuFw'],India, उपलब्ध वैज्ञानिक साक्ष्यों की समग्रता और स्वतंत्र  बाहरी विशेषज्ञों की हमारी सलाहकार समिति के विचार विमर्श के बाद  FDA ने स्वास्थ्य देखभाल जैसी कुछ आबादी में बूस्टर खुराक की अनुमति देने के लिए फाइजर बायोएनटेक COVID 19 वैक्सीन के लिए EUA में संशोधन   https   t co XrWKNbyuFw https   t co d2Cq47gShK,2021-09-23 00:00:00
2,hi,False,1440823262435364864,"पीएम मोदी: पहली खुराक टीकाकरण के 100% कवरेज के साथ, गोवा पर्यटन क्षेत्र को पुनर्जीवित करने में महत्वपूर्ण भूमिका निभाएगा
https://t.co/bPtvKsuiYD via NaMo App https://t.co/4uhHu2YyQx",[],[],[],['https://t.co/bPtvKsuiYD'],India,पीएम मोदी  पहली खुराक टीकाकरण के 100  कवरेज के साथ  गोवा पर्यटन क्षेत्र को पुनर्जीवित करने में महत्वपूर्ण भूमिका निभाएगाhttps   t co bPtvKsuiYD via NaMo App https   t co 4uhHu2YyQx,2021-09-23 00:00:00
3,hi,False,1440753165880623109,"मौलाना कलीम सिद्दीकी को बिना किसी अपराध के गिरफ्तार किया गया..!! 
बस क़ुसूर इतना  हैं की वो मुस्लिम है और यूपी में चुनाव है 
यही ढोंगी का विकास है 
क्योंकि इनके चेले आनंद गिरी जैसे तो आला दर्जे के हरामी जो निकले ! अब मुस्लिम को खुराक बनाया है 
#ReleaseKaleemSiddiqui",[],['ReleaseKaleemSiddiqui'],[],[],India,मौलाना कलीम सिद्दीकी को बिना किसी अपराध के गिरफ्तार किया गया     बस क़ुसूर इतना  हैं की वो मुस्लिम है और यूपी में चुनाव है यही ढोंगी का विकास है क्योंकि इनके चेले आनंद गिरी जैसे तो आला दर्जे के हरामी जो निकले   अब मुस्लिम को खुराक बनाया है  ReleaseKaleemSiddiqui,2021-09-22 19:00:00
4,hi,False,1440748276693680132,"बहुत दिनो बाद दिखे श्याम जी. 
पर महाराज उसी रूप (भाइयों....अर...) में अवतरित होते तो आपका कुछ खास नही जाता पर हम सब को डोपामाइन हारमोन की अच्छी खूराक मिल जाती और कुछ माह बहुत आनन्द से  बीतते... https://t.co/8afum87IIi",[],[],[],['https://t.co/8afum87IIi'],India,बहुत दिनो बाद दिखे श्याम जी  पर महाराज उसी रूप  भाइयों    अर     में अवतरित होते तो आपका कुछ खास नही जाता पर हम सब को डोपामाइन हारमोन की अच्छी खूराक मिल जाती और कुछ माह बहुत आनन्द से  बीतते    https   t co 8afum87IIi,2021-09-22 19:00:00
5,hi,False,1440745404635574277,"@Sanju_Verma_ @narendramodi @INCIndia ये सब ठीक है 

लेकिन ये जो मोदी जी ने राहुल गांधी की ख़ुराक पकड़ी है गुजरात पोर्ट पर 

ऐई ना चोलबे !!",[],[],"['Sanju_Verma_', 'narendramodi', 'INCIndia']",[],India, Sanju Verma   narendramodi  INCIndia ये सब ठीक है लेकिन ये जो मोदी जी ने राहुल गांधी की ख़ुराक पकड़ी है गुजरात पोर्ट पर ऐई ना चोलबे   ,2021-09-22 19:00:00
6,hi,False,1440741443656507402,@RahulGandhi सालभर की खुराक एक साथ मंगाई थी क्या 🤔,['🤔'],[],['RahulGandhi'],[],India, RahulGandhi सालभर की खुराक एक साथ मंगाई थी क्या ,2021-09-22 18:00:00
7,hi,False,1440735482766188545,"मौलाना कलीम सिद्दीकी को बिना किसी अपराध के गिरफ्तार किया गया..!! 
बस क़ुसूर इतना  हैं की वो मुस्लिम है और यूपी में चुनाव है 
यही ढोंगी का विकास है 
क्योंकि इनके चेले आनंद गिरी जैसे तो आला दर्जे के हरामी जो निकले ! अब मुस्लिम को खुराक बनाया है 
#ReleaseKaleemSiddiqui",[],['ReleaseKaleemSiddiqui'],[],[],India,मौलाना कलीम सिद्दीकी को बिना किसी अपराध के गिरफ्तार किया गया     बस क़ुसूर इतना  हैं की वो मुस्लिम है और यूपी में चुनाव है यही ढोंगी का विकास है क्योंकि इनके चेले आनंद गिरी जैसे तो आला दर्जे के हरामी जो निकले   अब मुस्लिम को खुराक बनाया है  ReleaseKaleemSiddiqui,2021-09-22 18:00:00
8,hi,False,1440731083956363266,"@ppbajpai चाचा पोर्ट जरूर मित्र का है उसकी खुराक तुम्हारे तक जरूर पहुंचती होगी ,नशे में कुछ भी लिखो।  मित्र सारे कंटेनर में झाक कर देखेगा ।",[],[],['ppbajpai'],[],India, ppbajpai चाचा पोर्ट जरूर मित्र का है उसकी खुराक तुम्हारे तक जरूर पहुंचती होगी  नशे में कुछ भी लिखो।  मित्र सारे कंटेनर में झाक कर देखेगा ।,2021-09-22 18:00:00
9,hi,False,1440725958470758400,"भारत अब दुनिया का सबसे बड़ा टीकाकरण अभियान चला रहा है। हाल ही में, हमने एक दिन में लगभग 25 मिलियन लोगों को टीका लगाया। हमारी जमीनी स्तर की स्वास्थ्य सेवा प्रणाली ने अब तक 800 मिलियन से अधिक वैक्सीन खुराक वितरित की हैं। - पीएम @narendramodi https://t.co/8a4xKBzQ5d",[],[],['narendramodi'],[],India,भारत अब दुनिया का सबसे बड़ा टीकाकरण अभियान चला रहा है। हाल ही में  हमने एक दिन में लगभग 25 मिलियन लोगों को टीका लगाया। हमारी जमीनी स्तर की स्वास्थ्य सेवा प्रणाली ने अब तक 800 मिलियन से अधिक वैक्सीन खुराक वितरित की हैं।   पीएम  narendramodi https   t co 8a4xKBzQ5d,2021-09-22 17:00:00
10,hi,False,1440724833239646220,"मनुष्य के दिमाग में दो घोड़े दौड़ते हैं, 
एक पॉजिटिव दूसरा नेगेटिव
जिसको ज्यादा खुराक दिया जाए वही जीतता है।",[],[],[],[],India,मनुष्य के दिमाग में दो घोड़े दौड़ते हैं  एक पॉजिटिव दूसरा नेगेटिवजिसको ज्यादा खुराक दिया जाए वही जीतता है।,2021-09-22 17:00:00
11,hi,False,1440722983002148878,"#GodMorningMonday
नाच गाने देखना मन शैतान की खुराक है । कृप्या संत रामपाल जी महाराज जी के सत्संग अवश्य सुनें , अपनी आत्मा को नवजीवन दें ।अधिक जानकारी के लिए Sant Rampal Ji Maharaj YouTube Channel पर Visit करें |पढ़ें ज्ञान गंगा व जीने की राह पुस्तक संत रामपाल जी द्वारा संचालित। https://t.co/AvHWZirA6O",[],['GodMorningMonday'],[],[],India, GodMorningMondayनाच गाने देखना मन शैतान की खुराक है । कृप्या संत रामपाल जी महाराज जी के सत्संग अवश्य सुनें   अपनी आत्मा को नवजीवन दें ।अधिक जानकारी के लिए Sant Rampal Ji Maharaj YouTube Channel पर Visit करें  पढ़ें ज्ञान गंगा व जीने की राह पुस्तक संत रामपाल जी द्वारा संचालित। https   t co AvHWZirA6O,2021-09-22 17:00:00
12,hi,False,1440721499082543111,"मौलाना कलीम सिद्दीकी को बिना किसी अपराध के गिरफ्तार किया गया..!! 
बस क़ुसूर इतना  हैं की वो मुस्लिम है और यूपी में चुनाव है 
यही ढोंगी का विकास है 
क्योंकि इनके चेले आनंद गिरी जैसे तो आला दर्जे के हरामी जो निकले ! अब मुस्लिम को खुराक बनाया है 
#ReleaseKaleemSiddiqui https://t.co/lY75ODjxv4",[],['ReleaseKaleemSiddiqui'],[],[],India,मौलाना कलीम सिद्दीकी को बिना किसी अपराध के गिरफ्तार किया गया     बस क़ुसूर इतना  हैं की वो मुस्लिम है और यूपी में चुनाव है यही ढोंगी का विकास है क्योंकि इनके चेले आनंद गिरी जैसे तो आला दर्जे के हरामी जो निकले   अब मुस्लिम को खुराक बनाया है  ReleaseKaleemSiddiqui https   t co lY75ODjxv4,2021-09-22 17:00:00
13,hi,False,1440720622393303042,"सबसे ज्यादा परेशानी तो तुमको ही हो रही होगी क्योकि आज की खुराक मिली नही होगी।
So sad mr Rahul gandhi https://t.co/e2hQS9zdFM",[],[],[],['https://t.co/e2hQS9zdFM'],India,सबसे ज्यादा परेशानी तो तुमको ही हो रही होगी क्योकि आज की खुराक मिली नही होगी।So sad mr Rahul gandhi https   t co e2hQS9zdFM,2021-09-22 17:00:00
14,hi,False,1440716871871856653,"आरोग्य झारखण्ड CSO नेटवर्क के संस्था महिला समग्र उत्थान समिति, प्रखंड प्रशासन एवं स्वास्थ्य विभाग के संयुक्त प्रयास से पलामू जिला के तरहसी प्रखण्ड के 5 गांव  100% करोना की पहली खुराक लेकर एक उपलब्धि @PhiaFoundation @DC_Palamu @DrJatashankarC1
@prdjharkhand
@JharkhandCMO https://t.co/2q4PXQHxGh",[],[],"['PhiaFoundation', 'DC_Palamu', 'DrJatashankarC1', 'prdjharkhand', 'JharkhandCMO']",[],India,आरोग्य झारखण्ड CSO नेटवर्क के संस्था महिला समग्र उत्थान समिति  प्रखंड प्रशासन एवं स्वास्थ्य विभाग के संयुक्त प्रयास से पलामू जिला के तरहसी प्रखण्ड के 5 गांव  100  करोना की पहली खुराक लेकर एक उपलब्धि  PhiaFoundation  DC Palamu  DrJatashankarC1 prdjharkhand JharkhandCMO https   t co 2q4PXQHxGh,2021-09-22 17:00:00
