,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
38,es,tatclouthier,33937794,True,1423048830380019726,"Hoy pudimos constatar que en las dificultades algunos se animan.  Deseamos el mejor de los éxitos a @epigmenioibarra y Verónica, así como al gran equipo de Casa Azul por promover las industrias creativas. https://t.co/90BA1LKhBT",[],[],['epigmenioibarra'],[],Mexico,Hoy pudimos constatar que en las dificultades algunos se animan   Deseamos el mejor de los éxitos a  epigmenioibarra y Verónica  así como al gran equipo de Casa Azul por promover las industrias creativas  https   t co 90BA1LKhBT,2021-08-04 23:00:00
39,es,tatclouthier,33937794,True,1422182116620742656,Buen día. Comparto entrevista en @eleconomista. https://t.co/qlSgGESCHW,[],[],['eleconomista'],['https://t.co/qlSgGESCHW'],Mexico,Buen día  Comparto entrevista en  eleconomista  https   t co qlSgGESCHW,2021-08-02 13:00:00
40,es,tatclouthier,33937794,True,1420761669928509448,Que gusto nos dio recibir al Senador Ben Hueso de California. Lo vinculamos con proyectos aeroespaciales  y exploramos trabajos conjuntos  en ciudades fronterizas. https://t.co/Y1wmrJGoiR,['xp'],[],[],[],Mexico,Que gusto nos dio recibir al Senador Ben Hueso de California  Lo vinculamos con proyectos aeroespaciales  y eloramos trabajos conjuntos  en ciudades fronterizas  https   t co Y1wmrJGoiR,2021-07-29 15:00:00
41,es,tatclouthier,33937794,True,1420487394093150213,"En la @SE_mx estamos listos para  analizar  las reglas de ""Buy American"" y su compatibilidad con las reglas del #TMEC.",[],['TMEC'],['SE_mx'],[],Mexico,En la  SE mx estamos listos para  analizar  las reglas de  Buy American  y su compatibilidad con las reglas del  TMEC ,2021-07-28 21:00:00
42,es,tatclouthier,33937794,True,1419766324956368897,En la @SE_mx reanudamos la operación física de las Oficinas de Representación en entidades federativas con medidas sanitarias para servidores públicos y personas que acudan a realizar algún trámite o soliciten asesoría. Domicilio y contacto de las 49 Ofic: https://t.co/8o5m1MRH6m https://t.co/ESb5hp2ZqM,[],[],['SE_mx'],['https://t.co/8o5m1MRH6m'],Mexico,En la  SE mx reanudamos la operación física de las Oficinas de Representación en entidades federativas con medidas sanitarias para servidores públicos y personas que acudan a realizar algún trámite o soliciten asesoría  Domicilio y contacto de las 49 Ofic  https   t co 8o5m1MRH6m https   t co ESb5hp2ZqM,2021-07-26 21:00:00
43,es,tatclouthier,33937794,True,1419637783371603968,"Con respeto,  una muestra de solidaridad a mis ex  compañeros legisladores de la bancada del  PRI, ante la partida de su líder en el Congreso: René Juárez C.. Igualmente, nuestras muestras de cariño a sus familiares.",[],[],[],[],Mexico,Con respeto   una muestra de solidaridad a mis ex  compañeros legisladores de la bancada del  PRI  ante la partida de su líder en el Congreso  René Juárez C   Igualmente  nuestras muestras de cariño a sus familiares ,2021-07-26 13:00:00
44,es,tatclouthier,33937794,True,1418675351249690631,"Desde la @EmbamexEUA🇲🇽🇺🇸, doy gracias a los equipos de la @SE_mx y al del Embajador @emoctezumab, por su valioso apoyo en nuestra primera gira presencial en #WashingtonDC. Regresamos a casa. https://t.co/VQ19QGp7j5","['🇺🇸', '🇲🇽']",['WashingtonDC'],"['EmbamexEUA', 'SE_mx', 'emoctezumab']",[],Mexico,Desde la  EmbamexEUA  doy gracias a los equipos de la  SE mx y al del Embajador  emoctezumab  por su valioso apoyo en nuestra primera gira presencial en  WashingtonDC  Regresamos a casa  https   t co VQ19QGp7j5,2021-07-23 21:00:00
45,es,tatclouthier,33937794,True,1418390555722125315,"Hoy se concluyó la Semana de los ODS, @Agenda2030MX. Gracias por contribuir todos los días a una recuperación sostenible e incluyente, para no dejar a nadie atrás. https://t.co/Uq6w3lLgVj",[],[],['Agenda2030MX'],[],Mexico,Hoy se concluyó la Semana de los ODS   Agenda2030MX  Gracias por contribuir todos los días a una recuperación sostenible e incluyente  para no dejar a nadie atrás  https   t co Uq6w3lLgVj,2021-07-23 02:00:00
46,es,tatclouthier,33937794,True,1418326808131522566,Me dio mucho gusto reunirme con @AmbassadorTai a quien agradezco nos haya recibido para continuar el diálogo que favorezca la implementación del #TMEC https://t.co/eX8wt9qhWP,[],['TMEC'],['AmbassadorTai'],[],Mexico,Me dio mucho gusto reunirme con  AmbassadorTai a quien agradezco nos haya recibido para continuar el diálogo que favorezca la implementación del  TMEC https   t co eX8wt9qhWP,2021-07-22 22:00:00
47,es,tatclouthier,33937794,True,1418187365722492929,"¡Buen día! Iniciamos temprano en reunión con los 13 Ministros del Grupo Ottawa y la Directora de @OMC_es , @NOIweala, para continuar las discusiones sobre la reforma de la organización en preparación a la 12ª Conferencia Ministerial así como la negociación de subsidios a la pesca https://t.co/Sr19RiwdHU",[],[],"['OMC_es', 'NOIweala']",[],Mexico,¡Buen día  Iniciamos temprano en reunión con los 13 Ministros del Grupo Ottawa y la Directora de  OMC es    NOIweala  para continuar las discusiones sobre la reforma de la organización en preparación a la 12ª Conferencia Ministerial así como la negociación de subsidios a la pesca https   t co Sr19RiwdHU,2021-07-22 13:00:00
