,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_hi,tweet_date
0,hi,False,1440823262435364864,"पीएम मोदी: पहली खुराक टीकाकरण के 100% कवरेज के साथ, गोवा पर्यटन क्षेत्र को पुनर्जीवित करने में महत्वपूर्ण भूमिका निभाएगा
https://t.co/bPtvKsuiYD via NaMo App https://t.co/4uhHu2YyQx",[],[],[],['https://t.co/bPtvKsuiYD'],India,पीएम मोदी  पहली खुराक टीकाकरण के 100  कवरेज के साथ  गोवा पर्यटन क्षेत्र को पुनर्जीवित करने में महत्वपूर्ण भूमिका निभाएगाhttps   t co bPtvKsuiYD via NaMo App https   t co 4uhHu2YyQx,2021-09-23 00:00:00
1,hi,False,1440716871871856653,"आरोग्य झारखण्ड CSO नेटवर्क के संस्था महिला समग्र उत्थान समिति, प्रखंड प्रशासन एवं स्वास्थ्य विभाग के संयुक्त प्रयास से पलामू जिला के तरहसी प्रखण्ड के 5 गांव  100% करोना की पहली खुराक लेकर एक उपलब्धि @PhiaFoundation @DC_Palamu @DrJatashankarC1
@prdjharkhand
@JharkhandCMO https://t.co/2q4PXQHxGh",[],[],"['PhiaFoundation', 'DC_Palamu', 'DrJatashankarC1', 'prdjharkhand', 'JharkhandCMO']",[],India,आरोग्य झारखण्ड CSO नेटवर्क के संस्था महिला समग्र उत्थान समिति  प्रखंड प्रशासन एवं स्वास्थ्य विभाग के संयुक्त प्रयास से पलामू जिला के तरहसी प्रखण्ड के 5 गांव  100  करोना की पहली खुराक लेकर एक उपलब्धि  PhiaFoundation  DC Palamu  DrJatashankarC1 prdjharkhand JharkhandCMO https   t co 2q4PXQHxGh,2021-09-22 17:00:00
2,hi,False,1440668947397832721,"उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार

🔶 72,43,235 को पहली और 27,86,885 को दी जा चुकी है दोनों खुराक

🔶 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक

🔶 भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य

#UttarakhandWithBJP https://t.co/Uy0gpO2EDz",['🔶'],['UttarakhandWithBJP'],[],[],India,उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार 72 43 235 को पहली और 27 86 885 को दी जा चुकी है दोनों खुराक 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य UttarakhandWithBJP https   t co Uy0gpO2EDz,2021-09-22 13:00:00
3,hi,True,1440641492125585410,"उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार

🔶 72,43,235 को पहली और 27,86,885 को दी जा चुकी है दोनों खुराक

🔶 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक

🔶 भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य

@pushkardhami @narendramodi https://t.co/R1GPVjFdqZ",['🔶'],[],"['pushkardhami', 'narendramodi']",[],India,उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार 72 43 235 को पहली और 27 86 885 को दी जा चुकी है दोनों खुराक 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य pushkardhami  narendramodi https   t co R1GPVjFdqZ,2021-09-22 12:00:00
4,hi,False,1440631526773837826,"उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार

🔶 72,43,235 को पहली और 27,86,885 को दी जा चुकी है दोनों खुराक🔶 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक
🔶 भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य
बीजेपी ओबीसी मोर्चा सोशल मीडिया यूके https://t.co/GnzwM1G2j0",['🔶'],[],[],[],India,उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार 72 43 235 को पहली और 27 86 885 को दी जा चुकी है दोनों खुराक 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्यबीजेपी ओबीसी मोर्चा सोशल मीडिया यूके https   t co GnzwM1G2j0,2021-09-22 11:00:00
5,hi,False,1440624885282213900,"यूपी में अबतक 7 करोड़ 94 लाख लोगों को लगी टीके की पहली डोज, 1 करोड़ 73 लाख लोगों ने ली टीके की दोनों खुराक

https://t.co/GP1ZBLBncV

#UttarPradesh #Corona #COVID19 #vaccine #Vaccination @myogiadityanath @CMOfficeUP @myogioffice @BJP4UP",[],"['UttarPradesh', 'Corona', 'COVID19', 'vaccine', 'Vaccination']","['myogiadityanath', 'CMOfficeUP', 'myogioffice', 'BJP4UP']",['https://t.co/GP1ZBLBncV'],India,यूपी में अबतक 7 करोड़ 94 लाख लोगों को लगी टीके की पहली डोज  1 करोड़ 73 लाख लोगों ने ली टीके की दोनों खुराकhttps   t co GP1ZBLBncV UttarPradesh  Corona  COVID19  vaccine  Vaccination  myogiadityanath  CMOfficeUP  myogioffice  BJP4UP,2021-09-22 11:00:00
6,hi,False,1440608540977078277,"उत्तराखंड में टीकाकरण का आंकड़ा हुआ 1 करोड़ पार
🔶 72,43,235 को पहली और 27,86,885 को दी जा चुकी है दोनों खुराक
🔶 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक
🔶 भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य
#UttarakhandWithBJP
#IndiaFightsCorona https://t.co/XZHjPnvRPf",['🔶'],"['UttarakhandWithBJP', 'IndiaFightsCorona']",[],[],India,उत्तराखंड में टीकाकरण का आंकड़ा हुआ 1 करोड़ पार 72 43 235 को पहली और 27 86 885 को दी जा चुकी है दोनों खुराक 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य UttarakhandWithBJP IndiaFightsCorona https   t co XZHjPnvRPf,2021-09-22 09:00:00
7,hi,False,1440601690147753990,"उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार

🔶 72,43,235 को पहली और 27,86,885 को दी जा चुकी है दोनों खुराक

🔶 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक

🔶 भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य

#UttarakhandWithBJP https://t.co/Icxfy0N58z",['🔶'],['UttarakhandWithBJP'],[],[],India,उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार 72 43 235 को पहली और 27 86 885 को दी जा चुकी है दोनों खुराक 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य UttarakhandWithBJP https   t co Icxfy0N58z,2021-09-22 09:00:00
8,hi,False,1440600104465956869,"उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार

🔶 72,43,235 को पहली और 27,86,885 को दी जा चुकी है दोनों खुराक

🔶 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक

🔶 भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य

#UttarakhandWithBJP https://t.co/AjfrXixCNX",['🔶'],['UttarakhandWithBJP'],[],[],India,उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार 72 43 235 को पहली और 27 86 885 को दी जा चुकी है दोनों खुराक 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य UttarakhandWithBJP https   t co AjfrXixCNX,2021-09-22 09:00:00
9,hi,False,1440599977835646981,"उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार

🔶 72,43,235 को पहली और 27,86,885 को दी जा चुकी है दोनों खुराक

🔶 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक

🔶 भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य

#UttarakhandWithBJP",['🔶'],['UttarakhandWithBJP'],[],[],India,उत्तराखंड में टीकाकरण का आंकड़ा हुआ एक करोड़ के पार 72 43 235 को पहली और 27 86 885 को दी जा चुकी है दोनों खुराक 18 साल से अधिक उम्र के 94 प्रतिशत लोगों को लगी है पहली खुराक भाजपा सरकार ने दिसंबर तक 100 प्रतिशत टीकाकरण का रखा है लक्ष्य UttarakhandWithBJP,2021-09-22 09:00:00
