,tweet_lang,poi_name,poi_id,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
778,es,lopezobrador_,82119937,True,1263488069459640320,Guardia de honor con motivo del Centenario Luctuoso del presidente Venustiano Carranza. https://t.co/dAWrausgtr,[],[],[],[],Mexico,Guardia de honor con motivo del Centenario Luctuoso del presidente Venustiano Carranza  https   t co dAWrausgtr,2020-05-21 15:00:00
779,es,lopezobrador_,82119937,True,1263441028981252096,"En la nueva política económica, sí al crecimiento, pero con democracia y bienestar. Conferencia matutina. https://t.co/zzNKKIaugA",[],[],[],['https://t.co/zzNKKIaugA'],Mexico,En la nueva política económica  sí al crecimiento  pero con democracia y bienestar  Conferencia matutina  https   t co zzNKKIaugA,2020-05-21 12:00:00
780,es,lopezobrador_,82119937,True,1263080040180232192,Estamos construyendo un estado de bienestar igualitario y fraterno. Conferencia matutina. https://t.co/lp2AU1LRLA,[],[],[],['https://t.co/lp2AU1LRLA'],Mexico,Estamos construyendo un estado de bienestar igualitario y fraterno  Conferencia matutina  https   t co lp2AU1LRLA,2020-05-20 12:00:00
781,es,lopezobrador_,82119937,True,1262802005669675014,"Felicidades, Elena, como te decía nuestra querida amiga «Chaneca». Gracias por ser como eres, Elenita: gran escritora y mujer de infinita bondad. https://t.co/rYSz652a0f",[],[],[],[],Mexico,Felicidades  Elena  como te decía nuestra querida amiga «Chaneca»  Gracias por ser como eres  Elenita  gran escritora y mujer de infinita bondad  https   t co rYSz652a0f,2020-05-19 18:00:00
782,es,lopezobrador_,82119937,True,1262715161934090241,El retorno se hará de forma ordenada para que la vuelta a las actividades sea segura. Conferencia matutina. #COVID19 https://t.co/4mLRhMkEmn,[],['COVID19'],[],['https://t.co/4mLRhMkEmn'],Mexico,El retorno se hará de forma ordenada para que la vuelta a las actividades sea segura  Conferencia matutina   COVID19 https   t co 4mLRhMkEmn,2020-05-19 12:00:00
783,es,lopezobrador_,82119937,True,1262549523563511813,"Ya había enviado con Beatriz mi pésame a familiares y amigos de Bertha Maldonado, nuestra admirada «Chaneca» cuando me hicieron llegar esta foto. Es de cuando me entrega el moño que usamos en señal de protesta contra el desafuero, iniciado en 2004. https://t.co/MSPJe2YX1Y",[],[],[],[],Mexico,Ya había enviado con Beatriz mi pésame a familiares y amigos de Bertha Maldonado  nuestra admirada «Chaneca» cuando me hicieron llegar esta foto  Es de cuando me entrega el moño que usamos en señal de protesta contra el desafuero  iniciado en 2004  https   t co MSPJe2YX1Y,2020-05-19 01:00:00
784,es,lopezobrador_,82119937,True,1262354224257495041,"El crecimiento tiene que ir acompañado de democracia, justicia, honestidad, austeridad y bienestar. Conferencia matutina. https://t.co/B9O0uW0Vkd",[],[],[],['https://t.co/B9O0uW0Vkd'],Mexico,El crecimiento tiene que ir acompañado de democracia  justicia  honestidad  austeridad y bienestar  Conferencia matutina  https   t co B9O0uW0Vkd,2020-05-18 12:00:00
785,es,lopezobrador_,82119937,True,1262161124050567169,"Inicio y preparativos hacia la Nueva Normalidad económica, social y cultural del México de nuestro tiempo.

https://t.co/AZFE3GWBlS https://t.co/gd9PbwIWBt",[],[],[],['https://t.co/AZFE3GWBlS'],Mexico,Inicio y preparativos hacia la Nueva Normalidad económica  social y cultural del México de nuestro tiempo https   t co AZFE3GWBlS https   t co gd9PbwIWBt,2020-05-17 23:00:00
786,es,lopezobrador_,82119937,True,1261777735279677440,"Les comparto el ensayo «La nueva política económica en los tiempos del coronavirus». https://t.co/6NJUdzw9uu

Video: https://t.co/GCOoBhEB9N https://t.co/eImySxmaRp",[],[],[],"['https://t.co/6NJUdzw9uu', 'https://t.co/GCOoBhEB9N']",Mexico,Les comparto el ensayo «La nueva política económica en los tiempos del coronavirus»  https   t co 6NJUdzw9uuVideo  https   t co GCOoBhEB9N https   t co eImySxmaRp,2020-05-16 22:00:00
787,es,lopezobrador_,82119937,True,1261308601873956865,"Apenas terminé la conferencia de hoy y Jesús Ramírez me informó lo que no sabía: mi estimada maestra Paulina Fernández Christlieb falleció en marzo pasado. Siempre la recordaré como si estuviese viva, con cariño y respeto.",[],[],[],[],Mexico,Apenas terminé la conferencia de hoy y Jesús Ramírez me informó lo que no sabía  mi estimada maestra Paulina Fernández Christlieb falleció en marzo pasado  Siempre la recordaré como si estuviese viva  con cariño y respeto ,2020-05-15 15:00:00
788,es,lopezobrador_,82119937,True,1261267036753104896,Tenemos una gran fortaleza y por eso saldremos adelante. Conferencia matutina. #QuédateEnCasa https://t.co/TKfpb5UN1L,[],['QuédateEnCasa'],[],['https://t.co/TKfpb5UN1L'],Mexico,Tenemos una gran fortaleza y por eso saldremos adelante  Conferencia matutina   QuédateEnCasa https   t co TKfpb5UN1L,2020-05-15 12:00:00
789,es,lopezobrador_,82119937,True,1260907703683018752,La Nueva Normalidad garantiza las libertades y es de aplicación voluntaria. Conferencia matutina. #COVID19 https://t.co/gQi9K4ROoJ,[],['COVID19'],[],['https://t.co/gQi9K4ROoJ'],Mexico,La Nueva Normalidad garantiza las libertades y es de aplicación voluntaria  Conferencia matutina   COVID19 https   t co gQi9K4ROoJ,2020-05-14 12:00:00
790,es,lopezobrador_,82119937,True,1260759809365872640,Hoy por la mañana tuve una amplia entrevista con Epigmenio Ibarra. Además dediqué la mayor parte del tiempo a reunirme con el Gabinete y los servidores públicos del sector salud para seguir enfrentando la epidemia de #COVID19. https://t.co/OvMEttUId8,[],['COVID19'],[],[],Mexico,Hoy por la mañana tuve una amplia entrevista con Epigmenio Ibarra  Además dediqué la mayor parte del tiempo a reunirme con el Gabinete y los servidores públicos del sector salud para seguir enfrentando la epidemia de  COVID19  https   t co OvMEttUId8,2020-05-14 03:00:00
791,es,lopezobrador_,82119937,True,1260541430935678976,El regreso a las actividades se hará de manera cuidadosa y gradual. Conferencia matutina. #COVID19 https://t.co/DPlc4tI3la,[],['COVID19'],[],['https://t.co/DPlc4tI3la'],Mexico,El regreso a las actividades se hará de manera cuidadosa y gradual  Conferencia matutina   COVID19 https   t co DPlc4tI3la,2020-05-13 12:00:00
792,es,lopezobrador_,82119937,True,1260178192872038402,"El comportamiento de los mexicanos ha sido ejemplar, continuemos con las medidas de sana distancia. Conferencia matutina. https://t.co/Mrcvsdlttn",[],[],[],['https://t.co/Mrcvsdlttn'],Mexico,El comportamiento de los mexicanos ha sido ejemplar  continuemos con las medidas de sana distancia  Conferencia matutina  https   t co Mrcvsdlttn,2020-05-12 12:00:00
