,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_es,tweet_date
1400,es,False,1441027855501123585,@Mav_erick2 Quien sabe si se ha vacunado!!!,[],[],['Mav_erick2'],[],Mexico, Mav erick2 Quien sabe si se ha vacunado   ,2021-09-23 13:00:00
1401,es,False,1441027841311731713,"@DeEnganos @zanety10 El vacunarse o no, no diferencia ser mas o menos listo.
El miedo o la confianza es lo que a uno hace decidirse o no...
Yo no soy ni pro ni contra...estoy vacunado y que cada uno haga lo que le salga. Sin más.",[],[],"['DeEnganos', 'zanety10']",[],Mexico, DeEnganos  zanety10 El vacunarse o no  no diferencia ser mas o menos listo El miedo o la confianza es lo que a uno hace decidirse o no   Yo no soy ni pro ni contra   estoy vacunado y que cada uno haga lo que le salga  Sin más ,2021-09-23 13:00:00
1402,es,False,1441027814761893893,"@rmapalacios Nunca olvidaré haberme vacunado en la gestión del Sr Pdte d la Rep Sagasti, si seguía ""lagarto"" ya no contaba esta historia. El Pdte Castillo tamb está poniendo énfasis en la vacunación, es digno d aplausos. Creo q ya hemos parado la época d desesperación q nos tenía el novelero",[],[],['rmapalacios'],[],Mexico, rmapalacios Nunca olvidaré haberme vacunado en la gestión del Sr Pdte d la Rep Sagasti  si seguía  lagarto  ya no contaba esta historia  El Pdte Castillo tamb está poniendo énfasis en la vacunación  es digno d aplausos  Creo q ya hemos parado la época d desesperación q nos tenía el novelero,2021-09-23 13:00:00
1403,es,False,1441027765483016193,"@ATarrojos Me parece muy bien, pero si coges el Covid sin vacunar es más peligroso que si estás vacunado . Ojalá no lo cojas y ya está. Suerte.",[],[],['ATarrojos'],[],Mexico, ATarrojos Me parece muy bien  pero si coges el Covid sin vacunar es más peligroso que si estás vacunado   Ojalá no lo cojas y ya está  Suerte ,2021-09-23 13:00:00
1404,es,False,1441027709103222784,"@carmensuisse @toni17lopez Si todo vacunado no padeciera el covid y evitara contagiar, sería la vacuna perfecta pero, de momento, ni lo uno ni lo otro. Sí se sabe que el vacunado tiene cierta protección individual pero hay algunos casos donde tal protección ha traído otras consecuencias. De ahí el lío.",[],[],"['carmensuisse', 'toni17lopez']",[],Mexico, carmensuisse  toni17lopez Si todo vacunado no padeciera el covid y evitara contagiar  sería la vacuna perfecta pero  de momento  ni lo uno ni lo otro  Sí se sabe que el vacunado tiene cierta protección individual pero hay algunos casos donde tal protección ha traído otras consecuencias  De ahí el lío ,2021-09-23 13:00:00
1405,es,False,1441027663012016131,"@ldpsincomplejos Los que no se vacunan contagian lo mismo que un vacunado, no entiendo el follón este que habéis montado. Y ahora criticas a VOX, parece que queréis quedaros sin audiencia. Cada vez os pareceis más a Casado y su equipo progre tonto.",[],[],['ldpsincomplejos'],[],Mexico, ldpsincomplejos Los que no se vacunan contagian lo mismo que un vacunado  no entiendo el follón este que habéis montado  Y ahora criticas a VOX  parece que queréis quedaros sin audiencia  Cada vez os pareceis más a Casado y su equipo progre tonto ,2021-09-23 13:00:00
1406,es,False,1441027660948324355,"@ManriqueMiera @alfonsopineiro Si no te restringen nada, tienes que hacer como antes de no estar vacunado,  PCR negativa.",[],[],"['ManriqueMiera', 'alfonsopineiro']",[],Mexico, ManriqueMiera  alfonsopineiro Si no te restringen nada  tienes que hacer como antes de no estar vacunado   PCR negativa ,2021-09-23 13:00:00
1407,es,False,1441027637099573256,Weon que chucha si uno está vacunado y con mascarilla es de menor riesgo cuando alguien no está vacunado y no usa mascarilla + se niega a seguir protocolos es obviamente que es pq quiere ESTÁN WEANDO MUCHO YA,[],[],[],[],Mexico,Weon que chucha si uno está vacunado y con mascarilla es de menor riesgo cuando alguien no está vacunado y no usa mascarilla   se niega a seguir protocolos es obviamente que es pq quiere ESTÁN WEANDO MUCHO YA,2021-09-23 13:00:00
1408,es,False,1441027540362010628,¡QUÉ LOCURA! La foto que muestra a Bolsonaro comiendo en la calle en Nueva York por no haberse vacunado contra el covid-19  https://t.co/v8BANvraSQ,[],[],[],['https://t.co/v8BANvraSQ'],Mexico,¡QUÉ LOCURA  La foto que muestra a Bolsonaro comiendo en la calle en Nueva York por no haberse vacunado contra el covid 19  https   t co v8BANvraSQ,2021-09-23 13:00:00
1409,es,False,1441027535429570562,"@NickNeuk @juan_roquetero De ahí, que yo como vacunado, no me caliento la cabeza y hago mi vida normal sin pensar si con el que me cruzo por la calle se ha vacunado o no.",[],[],"['NickNeuk', 'juan_roquetero']",[],Mexico, NickNeuk  juan roquetero De ahí  que yo como vacunado  no me caliento la cabeza y hago mi vida normal sin pensar si con el que me cruzo por la calle se ha vacunado o no ,2021-09-23 13:00:00
