,tweet_lang,verified,id,tweet_text,tweet_emoticons,hashtags,mentions,tweet_urls,country,text_hi,tweet_date
0,hi,False,1440856169317212160,"#TruthOfShraadh
अश्लील फिल्मों के कारण समाज बिगड़ता जा रहा है  बच्चे फिल्मों को देखकर उसी राह पर चलते हैं ऐसी फिल्मों के कारण बच्चों पर गलत असर पड़ता है उनका भविष्य खराब होता है https://t.co/l3E3nn6axW",[],['TruthOfShraadh'],[],[],India, TruthOfShraadhअश्लील फिल्मों के कारण समाज बिगड़ता जा रहा है  बच्चे फिल्मों को देखकर उसी राह पर चलते हैं ऐसी फिल्मों के कारण बच्चों पर गलत असर पड़ता है उनका भविष्य खराब होता है https   t co l3E3nn6axW,2021-09-23 02:00:00
1,hi,True,1440712385300369410,"#Udaipur: #ZeeRajasthan  का हुआ बड़ा असर

नारायण सेवा संस्थान का #CMHO दिनेश खराड़ी ने किया दौरा, CMHO खराड़ी ने 7 बच्चों को महाराणा भूपाल चिकित्सालय में भर्ती कराने की पुष्टि,2 बच्चो की मौत की भी खराड़ी ने पुष्टि,खराड़ी ने बताया भौजन के बाद तबियत खराब होने कही बात",[],"['Udaipur', 'ZeeRajasthan', 'CMHO']",[],[],India, Udaipur   ZeeRajasthan  का हुआ बड़ा असरनारायण सेवा संस्थान का  CMHO दिनेश खराड़ी ने किया दौरा  CMHO खराड़ी ने 7 बच्चों को महाराणा भूपाल चिकित्सालय में भर्ती कराने की पुष्टि 2 बच्चो की मौत की भी खराड़ी ने पुष्टि खराड़ी ने बताया भौजन के बाद तबियत खराब होने कही बात,2021-09-22 16:00:00
2,hi,False,1440709861793140748,"@ModgilSonu @G01UH अब कल मिलेंगे भाई, थोड़ा सा आपलोगों के साथ हंसबोल लेते हैं, लेकिन सच तो यह है कि आजकल तबीयत बहुत खराब रहती है, लगभग बीस दिन हो गए । पुरानी दवाएं अब असर नही कर रहीं उल्टा रिएक्ट कर रही हैं ।

शुभ रात्रि 🙏🙏",['🙏'],[],"['ModgilSonu', 'G01UH']",[],India, ModgilSonu  G01UH अब कल मिलेंगे भाई  थोड़ा सा आपलोगों के साथ हंसबोल लेते हैं  लेकिन सच तो यह है कि आजकल तबीयत बहुत खराब रहती है  लगभग बीस दिन हो गए । पुरानी दवाएं अब असर नही कर रहीं उल्टा रिएक्ट कर रही हैं ।शुभ रात्रि ,2021-09-22 16:00:00
3,hi,False,1440667781121200136,"अब मीडिया और कम्पनियों ने भी पूरी परिकाष्ठा पार कर दी है सनातन संस्कृति का अपमान करने में और हमारे सनातनियों को भी ऐसे कम्पनी के विज्ञापन देखने में बड़ा आनंद आता है
ऐसे विज्ञापनों से बच्चों पर जो असर पड़ता हैं फिर लोग कहते हैं समय बड़ा खराब है जबकि समय पर आपने ध्यान नहीं दिया।
😡 https://t.co/URqwRTcMg7",['😡'],[],[],[],India,अब मीडिया और कम्पनियों ने भी पूरी परिकाष्ठा पार कर दी है सनातन संस्कृति का अपमान करने में और हमारे सनातनियों को भी ऐसे कम्पनी के विज्ञापन देखने में बड़ा आनंद आता हैऐसे विज्ञापनों से बच्चों पर जो असर पड़ता हैं फिर लोग कहते हैं समय बड़ा खराब है जबकि समय पर आपने ध्यान नहीं दिया। https   t co URqwRTcMg7,2021-09-22 13:00:00
4,hi,False,1440611500196970496,@narendramodi @POTUS @JoeBiden @VP @KamalaHarris आदरणीय प्रधानमंत्री  जी  लेकिन आपको अबकी बार ट्रम्प सरकार नहीं बोलना चाहिए था। ये हमारे और अमेरिका के रिश्ते पर ख़राब असर भी डाल सकता था।,[],[],"['narendramodi', 'POTUS', 'JoeBiden', 'VP', 'KamalaHarris']",[],India, narendramodi  POTUS  JoeBiden  VP  KamalaHarris आदरणीय प्रधानमंत्री  जी  लेकिन आपको अबकी बार ट्रम्प सरकार नहीं बोलना चाहिए था। ये हमारे और अमेरिका के रिश्ते पर ख़राब असर भी डाल सकता था।,2021-09-22 10:00:00
5,hi,False,1440299138332049408,"@news24tvchannel @drsanjeevbalyan @sandeep_news24 संदीप जी कभी बेरोजगारी दर का डाटा २०१९ तक का देखा आप ने?२००४ से १४ तक के दर से बेरोजगारी कम थी,और आज के डेट में सबसे खराब दर राजस्थान का है २६% से ज्यादा बेओजगार,इसके नाते राष्ट्रीय डाटा पर भी असर होता है,कुछ तो शर्म होनी चाहिए कांग्रेसी चैनल को,आप लोग लोगों को गलत जानकारी मत दो,",[],[],"['news24tvchannel', 'drsanjeevbalyan', 'sandeep_news24']",[],India, news24tvchannel  drsanjeevbalyan  sandeep news24 संदीप जी कभी बेरोजगारी दर का डाटा २०१९ तक का देखा आप ने २००४ से १४ तक के दर से बेरोजगारी कम थी और आज के डेट में सबसे खराब दर राजस्थान का है २६  से ज्यादा बेओजगार इसके नाते राष्ट्रीय डाटा पर भी असर होता है कुछ तो शर्म होनी चाहिए कांग्रेसी चैनल को आप लोग लोगों को गलत जानकारी मत दो ,2021-09-21 13:00:00
6,hi,False,1440288617037918215,"अतिवृष्टि से खराब हुई तुलसा की फसल, नदी की बाढ़ से डूब गयी फसल, लेकिन इससे मोदीजी और योगीजी पर कोई असर नहीं पडे़गा https://t.co/KDGpDVpdRz",[],[],[],[],India,अतिवृष्टि से खराब हुई तुलसा की फसल  नदी की बाढ़ से डूब गयी फसल  लेकिन इससे मोदीजी और योगीजी पर कोई असर नहीं पडे़गा https   t co KDGpDVpdRz,2021-09-21 12:00:00
7,hi,False,1440274501346869248,"#GodMorningMonday
अश्लील फिल्मों के कारण समाज बिगड़ता जा रहा है  बच्चे फिल्मों को देखकर उसी राह पर चलते हैं ऐसी फिल्मों के कारण बच्चों पर गलत असर पड़ता है उनका भविष्य खराब होता है https://t.co/IAM67SGHQk",[],['GodMorningMonday'],[],[],India, GodMorningMondayअश्लील फिल्मों के कारण समाज बिगड़ता जा रहा है  बच्चे फिल्मों को देखकर उसी राह पर चलते हैं ऐसी फिल्मों के कारण बच्चों पर गलत असर पड़ता है उनका भविष्य खराब होता है https   t co IAM67SGHQk,2021-09-21 11:00:00
8,hi,False,1440253054977130496,"#GodMorningTuesday
अश्लील फिल्मों के कारण समाज बिगड़ता जा रहा है  बच्चे फिल्मों को देखकर उसी राह पर चलते हैं

 ऐसी फिल्मों के कारण बच्चों पर गलत असर पड़ता है उनका भविष्य खराब होता है https://t.co/92RFJ9oOYB",[],['GodMorningTuesday'],[],[],India, GodMorningTuesdayअश्लील फिल्मों के कारण समाज बिगड़ता जा रहा है  बच्चे फिल्मों को देखकर उसी राह पर चलते हैं ऐसी फिल्मों के कारण बच्चों पर गलत असर पड़ता है उनका भविष्य खराब होता है https   t co 92RFJ9oOYB,2021-09-21 10:00:00
9,hi,False,1440226552269049860,"#KabirIsGod

#SaintRampalJi           अश्लील फिल्मों के कारण समाज बिगड़ता जा रहा है  बच्चे फिल्मों को देखकर उसी राह पर चलते हैं ऐसी फिल्मों के कारण बच्चों पर गलत असर पड़ता है उनका भविष्य खराब होता है https://t.co/KrDzURLkc7",[],"['KabirIsGod', 'SaintRampalJi']",[],[],India, KabirIsGod SaintRampalJi           अश्लील फिल्मों के कारण समाज बिगड़ता जा रहा है  बच्चे फिल्मों को देखकर उसी राह पर चलते हैं ऐसी फिल्मों के कारण बच्चों पर गलत असर पड़ता है उनका भविष्य खराब होता है https   t co KrDzURLkc7,2021-09-21 08:00:00
